,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
748,Lenovo,1.32,Windows,8.0,Intel Core i5,2400.0,13.3,IPS,1.0,4890.0,1920.0,1200.0
749,Lenovo,1.65,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2120.0,1920.0,1080.0
750,Lenovo,1.66,Windows,8.0,Intel Core i5,1000.0,15.6,IPS,0.0,3098.0,1920.0,1080.0
751,Asus,1.65,Windows,8.0,Intel Pentium Silver,1100.0,13.3,OLED,1.0,2795.0,1920.0,1080.0
753,HP,2.3,Windows,16.0,Intel Core i7,2300.0,16.1,IPS,0.0,5767.0,1920.0,1080.0
754,Lenovo,1.6,Windows,8.0,Intel Core i3,1200.0,14.0,LCD,0.0,1884.0,1920.0,1080.0
755,HP,1.75,Windows,8.0,Intel Core i5,1000.0,15.6,IPS,0.0,2990.0,1920.0,1080.0
756,Lenovo,1.12,Windows,32.0,Intel Core i7,2400.0,14.0,IPS,1.0,9872.0,1920.0,1200.0
757,HP,1.35,Windows,16.0,Intel Core i7,2800.0,13.3,LCD,1.0,4990.0,1920.0,1080.0
758,Lenovo,2.6,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,5715.0,1920.0,1200.0
759,Lenovo,1.65,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,2521.0,1920.0,1080.0
760,Asus,1.5,Windows,8.0,Intel Core i5,1000.0,14.0,LCD,0.0,2890.0,1920.0,1080.0
761,Asus,1.8,Windows,8.0,Intel Core i5,3000.0,15.6,IPS,0.0,1949.0,1920.0,1080.0
762,Asus,1.6,Windows,8.0,Intel Core i5,1000.0,15.6,LCD,0.0,3399.0,1920.0,1080.0
763,Asus,1.44,Windows,32.0,Intel Core i7,2900.0,14.0,LCD,1.0,8010.0,2560.0,1600.0
764,Lenovo,1.4,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,1.0,6546.0,2880.0,1800.0
765,Asus,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,3720.0,1920.0,1080.0
766,Lenovo,2.1,Windows,8.0,Intel Core i5,3300.0,16.0,IPS,1.0,3114.0,1920.0,1200.0
767,Dell,1.73,Windows,8.0,Intel Core i3,3000.0,15.6,LED,0.0,1799.0,1920.0,1080.0
768,Asus,1.8,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,2139.0,1920.0,1080.0
769,Lenovo,1.65,Windows,8.0,Intel Core i5,3300.0,15.6,LCD,0.0,2537.0,1920.0,1080.0
770,Dell,1.91,Windows,16.0,Intel Core i7,2400.0,16.0,LCD,0.0,4702.0,1920.0,1200.0
771,Asus,2.0,Windows,16.0,Intel Core i7,3300.0,15.6,LCD,0.0,4199.0,1920.0,1080.0
772,Asus,1.8,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,3500.0,1920.0,1080.0
773,Lenovo,1.19,Windows,16.0,Intel Core i5,3300.0,13.3,IPS,1.0,6915.0,1920.0,1200.0
774,Lenovo,1.67,Windows,32.0,Intel Core i7,2400.0,16.0,IPS,0.0,7669.0,2560.0,1600.0
775,Lenovo,2.1,Windows,8.0,Intel Core i3,3000.0,17.3,LCD,0.0,2740.0,1600.0,900.0
776,Dell,1.52,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,3929.0,1366.0,768.0
777,Dell,1.44,Windows,16.0,Intel Core i5,3100.0,14.0,LCD,0.0,4253.0,1920.0,1080.0
778,Asus,1.8,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,2153.0,1920.0,1080.0
779,Dell,1.22,Windows,16.0,Intel Core i7,3500.0,14.0,LCD,0.0,5687.0,1920.0,1080.0
780,Lenovo,1.9,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,7290.0,2560.0,1600.0
781,Lenovo,2.35,Windows,16.0,Intel Core i5,3300.0,15.6,IPS,0.0,5340.0,1920.0,1080.0
782,HP,1.65,Windows,16.0,Intel Core i7,2800.0,17.3,IPS,0.0,4424.0,1920.0,1080.0
783,Asus,2.0,Windows,8.0,Intel Core i3,2100.0,15.6,LED,0.0,1800.0,1920.0,1080.0
784,Asus,1.73,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,3397.0,1920.0,1080.0
785,Lenovo,2.1,Windows,8.0,Intel Core i5,2400.0,17.3,IPS,0.0,2860.0,1920.0,1080.0
787,Lenovo,2.2,Windows,32.0,Intel Core i7,3500.0,15.6,IPS,0.0,9289.0,3840.0,2160.0
788,Lenovo,2.46,Windows,16.0,AMD Ryzen 7,2900.0,15.6,IPS,0.0,7199.0,1920.0,1080.0
790,Lenovo,1.65,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,3293.0,1920.0,1080.0
791,Dell,1.69,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,2821.0,1920.0,1080.0
792,Dell,1.87,Windows,16.0,Intel Core i7,3500.0,16.0,LCD,0.0,4485.0,1900.0,1200.0
793,Lenovo,1.7,Windows,16.0,Intel Core i7,3500.0,15.6,IPS,0.0,4039.0,1920.0,1080.0
794,Asus,1.6,Windows,8.0,Intel Core i7,2800.0,14.0,LCD,0.0,2789.0,1920.0,1080.0
795,Dell,1.87,Windows,16.0,Intel Core i7,3500.0,16.0,LCD,0.0,4962.0,1920.0,1200.0
797,HP,1.47,Windows,16.0,Intel Core i7,3500.0,14.0,IPS,1.0,5789.0,1920.0,1200.0
799,Asus,1.5,Windows,8.0,Intel Core i5,1000.0,14.0,LCD,0.0,2435.0,1920.0,1080.0
800,Asus,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,2991.0,1920.0,1080.0
801,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2290.0,1920.0,1080.0
802,Lenovo,1.65,Windows,32.0,Intel Core i7,3500.0,15.6,IPS,0.0,8313.0,1920.0,1080.0
803,Acer,1.9,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,3170.0,1920.0,1080.0
804,Lenovo,1.12,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,0.0,9453.0,2880.0,1800.0
805,Lenovo,1.65,Windows,8.0,AMD Ryzen 5,2100.0,15.6,LCD,0.0,2790.0,1920.0,1080.0
806,Dell,1.65,Windows,8.0,Intel Core i5,3200.0,15.6,LCD,0.0,3159.0,1920.0,1080.0
807,HP,1.36,Windows,32.0,Intel Core i7,3500.0,14.0,IPS,1.0,6390.0,1920.0,1200.0
808,Lenovo,1.38,Windows,16.0,Intel Core i7,2800.0,14.0,LCD,0.0,4780.0,1920.0,1080.0
809,Dell,1.69,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,3738.0,1920.0,1080.0
810,Lenovo,1.45,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,1.0,5643.0,2880.0,1800.0
811,Lenovo,1.29,Windows,16.0,Intel Core i5,3300.0,13.3,IPS,0.0,6142.0,1920.0,1200.0
812,Lenovo,1.35,Windows,8.0,Intel Core i5,1600.0,13.3,IPS,1.0,4609.0,1920.0,1080.0
813,Lenovo,1.18,Windows,16.0,Intel Core i5,1800.0,13.5,IPS,1.0,6689.0,2256.0,1504.0
815,HP,1.75,Windows,8.0,Intel Core i3,1200.0,15.6,LCD,0.0,2490.0,1920.0,1080.0
816,Dell,1.59,Windows,16.0,Intel Core i7,3500.0,15.6,LCD,0.0,5571.0,1920.0,1080.0
817,HP,1.75,Windows,8.0,Intel Core i5,2400.0,15.6,IPS,0.0,2499.0,1920.0,1080.0
818,Asus,1.3,Windows,8.0,Intel Core i5,2400.0,13.3,OLED,0.0,3190.0,1920.0,1080.0
820,Lenovo,1.36,Windows,16.0,Intel Core i7,2800.0,14.0,IPS,0.0,5950.0,1920.0,1080.0
821,Dell,1.52,Windows,8.0,Intel Core i7,2800.0,14.0,LCD,0.0,4025.0,1920.0,1080.0
822,Dell,1.96,Windows,16.0,Intel Core i7,2700.0,16.0,LCD,0.0,6289.0,1920.0,1200.0
823,Dell,1.64,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,5321.0,1920.0,1080.0
824,Lenovo,1.12,Windows,16.0,Intel Core i7,2400.0,14.0,IPS,1.0,9992.0,1920.0,1200.0
825,HP,1.74,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1512.0,1920.0,1080.0
826,Lenovo,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,IPS,0.0,5293.0,1920.0,1080.0
827,Asus,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,2811.0,1920.0,1080.0
828,Dell,1.54,Windows,32.0,Intel Core i7,2400.0,15.6,LCD,0.0,7652.0,1920.0,1080.0
829,Dell,1.49,Windows,16.0,Intel Core i7,1200.0,14.0,LCD,0.0,3584.0,1920.0,1080.0
830,Asus,1.5,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2375.0,1920.0,1080.0
831,Asus,1.6,Windows,8.0,Intel Core i3,3000.0,14.0,LED,0.0,1702.0,1920.0,1080.0
832,Lenovo,2.1,Windows,16.0,Intel Core i5,3300.0,16.0,IPS,1.0,3869.0,1920.0,1200.0
833,Asus,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,2640.0,1920.0,1080.0
834,Dell,1.36,Linux,8.0,Intel Core i5,3300.0,14.0,LED,0.0,4455.0,1920.0,1080.0
835,Lenovo,1.7,Windows,8.0,Intel Core i5,1600.0,15.6,LCD,0.0,2590.0,1920.0,1080.0
836,Lenovo,1.37,Windows,32.0,Intel Core i7,2400.0,14.0,OLED,1.0,7800.0,2880.0,1800.0
837,HP,1.76,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,1.0,6280.0,1920.0,1200.0
838,Lenovo,1.66,Windows,8.0,Intel Core i5,1000.0,15.6,LCD,0.0,2498.0,1920.0,1080.0
839,Lenovo,2.2,Windows,4.0,Intel Pentium,1100.0,15.6,LED,0.0,1339.0,1366.0,768.0
840,Asus,1.4,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2790.0,1920.0,1080.0
841,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2189.0,1920.0,1080.0
842,Lenovo,1.23,Windows,16.0,Intel Core i5,3300.0,13.3,IPS,0.0,3874.0,2560.0,1600.0
843,Dell,1.73,Windows,8.0,Intel Core i3,3000.0,15.6,LED,0.0,1978.0,1920.0,1080.0
844,Asus,2.3,Windows,32.0,AMD Ryzen 7,3200.0,15.6,LCD,0.0,7065.0,2560.0,1440.0
845,Dell,1.49,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2308.0,1920.0,1080.0
846,Lenovo,1.67,Windows,16.0,Intel Core i7,2400.0,16.0,IPS,0.0,6148.0,1920.0,1200.0
849,Lenovo,2.1,Windows,8.0,Intel Core i3,3000.0,17.3,LCD,0.0,2340.0,1600.0,900.0
850,HP,2.46,Windows,16.0,Intel Core i7,2300.0,16.1,IPS,0.0,3800.0,1920.0,1080.0
851,Asus,1.3,Windows,16.0,AMD Ryzen 9,3300.0,14.0,LCD,0.0,4910.0,1920.0,1080.0
852,HP,1.85,Windows,8.0,Intel Core i5,1000.0,15.6,IPS,0.0,3490.0,1920.0,1080.0
854,Lenovo,1.44,Windows,16.0,Intel Core i7,3000.0,14.0,IPS,1.0,8290.0,3840.0,2160.0
855,Asus,1.4,Windows,16.0,Intel Core i7,2800.0,14.0,OLED,1.0,4722.0,2880.0,1800.0
856,Asus,1.7,Windows,8.0,Intel Core i5,1000.0,15.6,LCD,0.0,2980.0,1920.0,1080.0
857,Lenovo,2.49,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,6846.0,2560.0,1600.0
858,Lenovo,2.2,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,4190.0,1920.0,1080.0
859,Asus,1.73,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2590.0,1920.0,1080.0
860,Dell,1.73,Windows,8.0,Intel Core i3,3000.0,15.6,LED,0.0,1650.0,1920.0,1080.0
861,HP,1.38,Windows,16.0,Intel Core i5,3300.0,14.0,IPS,1.0,3989.0,1920.0,1080.0
862,Asus,1.8,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1700.0,1920.0,1080.0
863,Dell,1.12,Windows,8.0,Intel Core i5,2400.0,13.3,LCD,0.0,5218.0,1920.0,1080.0
864,Lenovo,1.75,Windows,16.0,Intel Core i7,2800.0,15.6,IPS,1.0,5643.0,1920.0,1080.0
865,Dell,1.52,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,3598.0,1920.0,1080.0
866,Lenovo,1.6,Windows,4.0,AMD,1200.0,14.0,LCD,0.0,999.0,1366.0,768.0
867,Lenovo,1.42,Windows,16.0,Intel Core i5,3300.0,14.0,OLED,1.0,5046.0,2880.0,1800.0
868,Dell,1.54,Windows,16.0,Intel Core i7,3500.0,14.0,LCD,0.0,4189.0,1920.0,1200.0
869,HP,1.75,Windows,16.0,Intel Core i7,1300.0,15.6,IPS,0.0,3945.0,1920.0,1080.0
870,Asus,1.8,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,2116.0,1920.0,1080.0
871,Dell,1.73,Windows,8.0,Intel Core i5,2400.0,15.6,LED,0.0,2489.0,1920.0,1080.0
872,Dell,2.05,Windows,32.0,Intel Core i7,3500.0,16.0,LCD,0.0,8351.0,3072.0,1920.0
873,Dell,1.87,Windows,16.0,Intel Core i7,3500.0,16.0,LCD,0.0,5075.0,1920.0,1200.0
874,Dell,1.91,Windows,16.0,Intel Core i7,2400.0,16.0,LCD,0.0,4525.0,1920.0,1200.0
876,HP,2.03,Windows,8.0,Intel Core i7,1800.0,15.6,IPS,0.0,3640.0,1920.0,1080.0
877,Lenovo,1.7,Windows,16.0,Intel Core i7,2800.0,15.6,IPS,0.0,4089.0,1920.0,1080.0
878,Asus,2.3,Windows,32.0,AMD Ryzen 7,3200.0,15.6,LCD,0.0,6290.0,2560.0,1440.0
880,Lenovo,2.1,Windows,8.0,Intel Core i5,3300.0,16.0,IPS,1.0,3316.0,1920.0,1200.0
881,Lenovo,1.46,Windows,16.0,AMD Ryzen 7 PRO,1900.0,14.0,IPS,0.0,5820.0,3840.0,2160.0
883,Asus,2.0,Windows,16.0,AMD Ryzen 7,3200.0,15.6,OLED,1.0,5849.0,1920.0,1080.0
884,Dell,1.73,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2689.0,1920.0,1080.0
885,Dell,1.65,Windows,16.0,Intel Core i7,2700.0,16.0,LCD,0.0,6401.0,3072.0,1920.0
886,HP,1.65,Windows,8.0,Intel Core i5,2400.0,17.3,IPS,0.0,3398.0,1920.0,1080.0
887,Lenovo,1.42,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,1.0,5293.0,2880.0,1800.0
889,Lenovo,1.42,Windows,16.0,Intel Core i5,3300.0,14.0,OLED,1.0,5207.0,2880.0,1800.0
890,Asus,1.9,Windows,32.0,AMD Ryzen 9,3000.0,15.6,LCD,0.0,10480.0,2560.0,1440.0
891,Lenovo,1.4,Windows,16.0,Intel Core i7,1800.0,13.3,IPS,0.0,3950.0,1920.0,1080.0
892,Lenovo,2.1,Windows,8.0,Intel Core i5,3300.0,16.0,IPS,1.0,3354.0,1920.0,1200.0
893,Acer,1.7,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,3217.0,1920.0,1080.0
894,HP,1.46,Windows,16.0,Intel Core i7,3500.0,14.0,LCD,0.0,3063.0,1920.0,1080.0
895,Asus,2.0,Windows,16.0,AMD Ryzen 7,3200.0,16.0,LCD,1.0,7440.0,2560.0,1600.0
896,Lenovo,1.65,Windows,16.0,Intel Core i7,2400.0,13.0,IPS,0.0,8886.0,2160.0,1350.0
897,Asus,1.6,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2350.0,1920.0,1080.0
898,Dell,1.91,Windows,16.0,Intel Core i5,3300.0,16.0,LCD,0.0,4048.0,1920.0,1200.0
899,Dell,2.34,Windows,16.0,Intel Core i7,1800.0,15.6,LED,0.0,6049.0,1920.0,1080.0
900,Asus,1.8,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,1999.0,1920.0,1080.0
901,Lenovo,2.6,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,5274.0,1920.0,1200.0
902,Lenovo,2.45,Windows,32.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,7489.0,2560.0,1600.0
903,Lenovo,1.65,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2348.0,1920.0,1080.0
904,Lenovo,2.49,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,7470.0,2560.0,1600.0
905,Asus,1.45,Windows,8.0,Intel Pentium Silver,1100.0,14.0,LCD,1.0,2270.0,1920.0,1080.0
906,Dell,1.66,Windows,8.0,Intel Core i5,3200.0,15.6,LED,0.0,3090.0,1920.0,1080.0
907,HP,1.69,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,2269.0,1920.0,1080.0
908,Lenovo,1.45,Windows,8.0,Intel Pentium Silver,1100.0,15.6,LCD,0.0,1761.0,1920.0,1080.0
909,Lenovo,1.19,Windows,16.0,Intel Core i5,3300.0,13.3,IPS,1.0,6564.0,1920.0,1200.0
910,Lenovo,1.5,Windows,16.0,Intel Core i5,3300.0,14.0,IPS,1.0,3625.0,1920.0,1200.0
911,Asus,2.6,Windows,16.0,Intel Core i7,2400.0,17.3,LCD,0.0,6900.0,1920.0,1080.0
912,Lenovo,1.64,Windows,16.0,Intel Core i5,2400.0,14.0,IPS,0.0,3489.0,1920.0,1080.0
913,Asus,1.4,Windows,8.0,Intel Core i5,2400.0,14.0,OLED,1.0,3570.0,2880.0,1800.0
914,Lenovo,2.45,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,6389.0,2560.0,1600.0
915,Lenovo,1.12,Windows,16.0,Intel Core i7,2400.0,14.0,IPS,0.0,9700.0,3840.0,2400.0
916,Lenovo,0.79,Windows,8.0,Intel Core i5,2400.0,13.0,IPS,1.0,5980.0,2160.0,1350.0
918,Lenovo,2.49,Windows,16.0,Intel Core i5,3300.0,16.0,IPS,0.0,6478.0,2560.0,1600.0
919,HP,1.78,Windows,8.0,Intel Core i3,1200.0,15.6,LED,0.0,2099.0,1920.0,1080.0
920,Asus,2.0,Windows,16.0,AMD Ryzen 9,3300.0,15.6,OLED,1.0,6500.0,1920.0,1080.0
921,Lenovo,1.75,Windows,8.0,Intel Core i5,1600.0,15.6,IPS,0.0,6249.0,1920.0,1080.0
922,HP,1.74,Windows,8.0,AMD Athlon Silver,2400.0,15.6,IPS,0.0,1374.0,1920.0,1080.0
924,Asus,1.65,Windows,8.0,AMD Ryzen 5,3300.0,15.6,OLED,0.0,3300.0,1920.0,1080.0
925,HP,2.46,Windows,16.0,Intel Core i7,2300.0,16.1,LCD,0.0,4999.0,1920.0,1080.0
926,Lenovo,1.98,Windows,16.0,Intel Core i7,2400.0,16.0,IPS,1.0,5530.0,2560.0,1600.0
927,Asus,1.8,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,5290.0,1920.0,1080.0
928,Asus,1.25,Windows,16.0,Intel Core i5,2500.0,14.0,LCD,0.0,3983.0,1920.0,1080.0
929,Asus,1.29,Windows,16.0,AMD Ryzen 9,3300.0,17.3,LCD,0.0,8188.0,1920.0,1080.0
931,Asus,2.3,Windows,16.0,Intel Core i7,2200.0,15.6,LCD,0.0,5470.0,1920.0,1080.0
932,HP,1.74,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,2660.0,1920.0,1080.0
933,Lenovo,1.65,Windows,16.0,Intel Core i5,3300.0,15.6,IPS,0.0,4776.0,1920.0,1080.0
934,Acer,1.05,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,1.0,3790.0,1920.0,1080.0
935,Lenovo,2.49,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,8766.0,2560.0,1600.0
936,Lenovo,1.65,Windows,8.0,AMD Ryzen 5,2100.0,15.6,IPS,0.0,2099.0,1920.0,1080.0
937,HP,1.69,Windows,8.0,Intel Core i3,3300.0,15.6,LCD,0.0,2159.0,1920.0,1080.0
938,Lenovo,1.5,Windows,16.0,Intel Core i5,3300.0,14.0,IPS,1.0,3831.0,1920.0,1200.0
939,Lenovo,1.65,Windows,32.0,Intel Core i7,3500.0,15.6,IPS,0.0,9089.0,3840.0,2160.0
940,Lenovo,1.98,Windows,16.0,Intel Core i7,2400.0,16.0,IPS,1.0,5243.0,2560.0,1600.0
941,Asus,2.0,Windows,16.0,Intel Core i7,3500.0,15.6,LCD,0.0,4509.0,1920.0,1080.0
942,Asus,1.73,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,3350.0,1920.0,1080.0
943,Lenovo,1.36,Windows,8.0,Intel Core i5,2400.0,14.0,IPS,0.0,4221.0,1920.0,1080.0
944,Lenovo,1.65,Windows,16.0,Intel Core i5,3300.0,15.6,IPS,0.0,3973.0,1920.0,1080.0
945,Lenovo,2.1,Windows,8.0,AMD Ryzen 7,1800.0,17.3,IPS,0.0,3290.0,1920.0,1080.0
946,Lenovo,1.7,Windows,16.0,Intel Core i5,3300.0,15.6,IPS,0.0,2899.0,1920.0,1080.0
947,Dell,1.36,Windows,8.0,Intel Core i5,3300.0,14.0,LCD,0.0,4498.0,1920.0,1080.0
948,Dell,1.73,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1580.0,1920.0,1080.0
949,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2949.0,1920.0,1080.0
950,HP,1.69,Windows,8.0,Intel Core i7,3500.0,15.6,IPS,0.0,2890.0,1920.0,1080.0
951,HP,2.11,Windows,32.0,Intel Core i7,2600.0,15.6,LCD,0.0,10802.0,1920.0,1080.0
952,Dell,1.73,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2350.0,1920.0,1080.0
953,Asus,1.4,Windows,8.0,Intel Core i3,1200.0,14.0,LCD,0.0,2139.0,1366.0,768.0
954,Asus,1.9,Windows,32.0,Intel Core i9,2900.0,16.0,LCD,0.0,11719.0,2560.0,1600.0
956,Dell,1.16,Windows,16.0,Intel Core i7,3500.0,13.4,LCD,0.0,7640.0,1920.0,1200.0
957,Dell,1.44,Windows,8.0,Intel Core i5,3200.0,14.0,LED,0.0,3501.0,1920.0,1080.0
958,Dell,1.36,Windows,8.0,Intel Core i5,3300.0,14.0,LCD,0.0,4099.0,1920.0,1080.0
959,Lenovo,1.65,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,2925.0,1920.0,1080.0
960,Lenovo,1.35,Windows,8.0,Intel Core i5,1600.0,13.3,IPS,1.0,4490.0,1920.0,1080.0
961,Asus,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,3108.0,1920.0,1080.0
962,Asus,1.6,Windows,8.0,Intel Core i3,3000.0,14.0,LCD,0.0,2315.0,1920.0,1080.0
963,Asus,1.73,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,3490.0,1920.0,1080.0
964,HP,1.76,Windows,32.0,Intel Core i7,2400.0,16.0,IPS,1.0,6921.0,1920.0,1200.0
965,Lenovo,1.65,Windows,16.0,Intel Core i7,2400.0,13.0,IPS,0.0,8519.0,2160.0,1350.0
966,Lenovo,1.4,Windows,16.0,Intel Core i7,2800.0,14.0,IPS,1.0,5481.0,1920.0,1080.0
967,Lenovo,2.07,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,6690.0,1920.0,1080.0
968,HP,1.34,Windows,16.0,Intel Core i7,2800.0,15.6,IPS,0.0,7198.0,1920.0,1080.0
969,Lenovo,1.43,Windows,8.0,Intel Core i5,1600.0,13.3,IPS,1.0,4599.0,1920.0,1080.0
970,Lenovo,2.1,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,1.0,4343.0,1920.0,1200.0
971,HP,2.0,Windows,8.0,Intel Core i5,1600.0,15.6,IPS,0.0,3290.0,1920.0,1080.0
972,Lenovo,1.31,Windows,16.0,Intel Core i7,2800.0,13.3,IPS,0.0,6290.0,1920.0,1200.0
973,Lenovo,1.65,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2245.0,1920.0,1080.0
974,HP,1.69,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,3190.0,1920.0,1080.0
975,Asus,1.8,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2349.0,1920.0,1080.0
976,Asus,1.55,Windows,8.0,Intel Core i3,3000.0,14.0,LCD,0.0,1620.0,1920.0,1080.0
977,Lenovo,1.65,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2390.0,1920.0,1080.0
978,Asus,1.6,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2100.0,1920.0,1080.0
979,Lenovo,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,IPS,0.0,5668.0,2560.0,1440.0
980,Apple,1.29,MacOS,8.0,Intel Core i7,2400.0,13.3,LED,0.0,5158.0,2560.0,1600.0
981,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,1963.0,1920.0,1080.0
982,Lenovo,1.81,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,9480.0,1920.0,1200.0
983,Asus,1.55,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,1949.0,1920.0,1080.0
984,Dell,1.73,Windows,16.0,Intel Core i5,2400.0,15.6,LED,0.0,2492.0,1920.0,1080.0
985,Asus,1.48,Windows,8.0,Intel Core i3,2100.0,14.0,LCD,0.0,1825.0,1366.0,768.0
986,Asus,0.83,Windows,16.0,Intel Core i7,2800.0,13.3,LCD,0.0,4900.0,1920.0,1080.0
987,Lenovo,1.65,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,2599.0,1920.0,1080.0
988,Lenovo,1.35,Windows,8.0,Intel Core i7,1800.0,13.3,IPS,1.0,4698.0,1920.0,1080.0
989,Dell,1.73,Windows,8.0,Intel Core i3,3000.0,15.6,LED,0.0,1600.0,1920.0,1080.0
990,HP,1.47,Windows,8.0,Intel Core i5,1000.0,14.0,IPS,0.0,2975.0,1920.0,1080.0
991,Lenovo,1.5,Windows,8.0,Intel Core i5,2400.0,14.0,IPS,1.0,3014.0,1920.0,1080.0
992,HP,2.25,Windows,8.0,Intel Core i5,2400.0,15.6,IPS,0.0,4472.0,1920.0,1080.0
993,Dell,1.25,Windows,16.0,Intel Core i5,3300.0,13.3,LCD,0.0,4667.0,1920.0,1200.0
994,HP,1.65,Windows,8.0,Intel Core i5,2400.0,17.3,IPS,0.0,3251.0,1920.0,1080.0
996,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2610.0,1920.0,1080.0
997,Lenovo,1.55,Windows,8.0,Intel Celeron,1100.0,15.6,LCD,0.0,1290.0,1920.0,1080.0
998,Lenovo,2.1,Windows,8.0,Intel Core i5,3300.0,16.0,IPS,1.0,3178.0,1920.0,1200.0
999,Dell,1.65,Windows,16.0,Intel Core i5,3300.0,13.3,LCD,0.0,5555.0,1920.0,1080.0
1000,Lenovo,1.32,Windows,16.0,AMD Ryzen 7,2000.0,13.3,IPS,1.0,4939.0,1920.0,1080.0
1001,Lenovo,2.3,Windows,16.0,Intel Core i5,2700.0,16.0,IPS,0.0,5264.0,2560.0,1600.0
1002,Lenovo,1.81,Windows,16.0,AMD Ryzen 7 PRO,3200.0,16.0,IPS,0.0,9888.0,1920.0,1200.0
