name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Latitude 5320 LT-RD33-13094 דל,Dell,NaN,1.32,Windows 10 PRO,8.0,Intel Core i5,2400.0,512.0,SSD,13.3,LCD,1920x1080,0.0,4789
מחשב נייד Asus ExpertBook B1 B1500CEAE-EJ0090 אסוס,Asus,NaN,1.73,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2699
מחשב נייד Dell Latitude 7420 14 LT-RD33-13247 דל,Dell,NaN,1.33,ללא,16.0,Intel Core i5,2600.0,512.0,SSD,14.0,LCD,1920x1080,0.0,4850
מחשב נייד Dell XPS 13 Plus 9320 XP-RD33-14057 דל,Dell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11684
מחשב נייד Lenovo ThinkPad X13 Gen 2 20WK009VIV לנובו,Lenovo,NaN,1.31,Windows 10 PRO,16.0,Intel Core i7,2800.0,NaN,NaN,13.3,IPS,1920x1200,1.0,6671
מחשב נייד Dell XPS 15 9520 XP-RD33-13667 דל,Dell,NaN,2.05,NaN,32.0,Intel Core i9,NaN,NaN,NaN,15.6,OLED,3456X2160,1.0,13990
מחשב נייד Lenovo ThinkPad P16 Gen 1 21D60016IV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13474
מחשב נייד Lenovo ThinkPad Z16 Gen 1 21D40018IV לנובו,Lenovo,NaN,1.81,NaN,16.0,AMD Ryzen 7 PRO,3200.0,NaN,NaN,16.0,IPS,1920x1200,0.0,10005
מחשב נייד Lenovo ThinkPad X13 Gen 2 20WK00AAIV לנובו,Lenovo,NaN,1.31,Windows 10 PRO,16.0,Intel Core i7,2800.0,NaN,NaN,13.3,IPS,1920x1200,0.0,6690
מחשב נייד HP Pavilion x360 Convertible 15-er0006nj 3N3D2EA,HP,NaN,0.99,Windows 10 PRO,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,IPS,1920x1080,1.0,4889
