name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Inspiron 3511 IN-RD33-14104 דל,Dell,NaN,1.73,NaN,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3478
מחשב נייד Dell XPS 13 Plus 9320 XP-RD33-14055 דל,Dell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8689
מחשב נייד Lenovo ThinkPad X390 20Q0003SIV לנובו,Lenovo,NaN,1.29,Windows  10,16.0,Intel Core i7,1800.0,512.0,SSD,13.3,IPS,1920x1080,1.0,7280
מחשב נייד HP ProBook 440 G8 5N460EA,HP,NaN,NaN,NaN,NaN,Intel Core i7,2800.0,NaN,NaN,NaN,NaN,NaN,NaN,3390
מחשב נייד Dell Vostro 15 5590 VM-RD09-11628 דל,Dell,NaN,1.66,Windows  10,8.0,Intel Core i7,1800.0,256.0,SSD,15.6,LED,1920x1080,0.0,3859
מחשב נייד Dell Inspiron 3511 IN-RD33-13122 דל,Dell,NaN,1.73,NaN,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,LED,1920x1080,0.0,3590
מחשב נייד Asus ROG Strix G15 G513QM-HN169T אסוס,Asus,NaN,2.3,Windows  10,16.0,AMD Ryzen 7,3200.0,1000.0,SSD,15.6,IPS,1920x1080,0.0,7900
מחשב נייד Lenovo Legion 5 17ARH05H 82GN0032IV לנובו,Lenovo,NaN,2.98,ללא,16.0,AMD Ryzen 7,2900.0,1000.0,SSD,17.3,IPS,1920x1080,0.0,7590
מחשב נייד Dell Latitude 7520 LT-RD33-12592 דל,Dell,NaN,1.53,Windows 10 PRO,16.0,Intel Core i7,3000.0,512.0,SSD,15.6,LCD,1920x1080,0.0,6281
מחשב נייד Dell Latitude 5420 L5420-7744 דל,Dell,NaN,1.4,Windows 10 PRO,16.0,Intel Core i7,3000.0,512.0,SSD,14.0,LCD,1920x1080,0.0,5750
מחשב נייד Lenovo ThinkPad P1 3nd Gen 20TH0010IV לנובו,Lenovo,NaN,1.69,Windows 10 PRO,16.0,Intel Core i7,2600.0,512.0,SSD,15.6,LCD,1920x1080,0.0,9390
מחשב נייד Lenovo Yoga Slim 7 Pro 16IAH7 82VA0025IV לנובו,Lenovo,NaN,NaN,NaN,32.0,Intel Core i7,2700.0,NaN,NaN,16.0,IPS,2560x1600,1.0,6750
מחשב נייד Toshiba Tecra A50-E-1X8 טושיבה,Toshiba,NaN,2.0,Windows  10,8.0,Intel Core i5,1600.0,256.0,SSD,15.6,IPS,1920x1080,0.0,5598
מחשב נייד Asus TUF Gaming F15 FX507ZE-HN008W אסוס,Asus,NaN,2.2,NaN,8.0,Intel Core i7,NaN,NaN,NaN,15.6,LCD,NaN,0.0,5515
מחשב נייד Lenovo Legion 5 Pro 16IAH7H 82RF007VIV לנובו,Lenovo,NaN,2.49,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,2560x1600,0.0,8826
מחשב נייד Asus X571LI-AL177T אסוס,Asus,NaN,2.14,Windows  10,16.0,Intel Core i7,2600.0,1000.0,SSD,15.6,LCD,1920x1080,0.0,5699
מחשב נייד Lenovo Legion 5 Pro 16ITH6 82JF0031IV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i7,2300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,5700
מחשב נייד HP Omen 16-b0000nj 4T9K8EA,HP,NaN,NaN,Windows  10,32.0,Intel Core i7,3060.0,NaN,NaN,16.1,IPS,1920x1080,0.0,6735
