name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo ThinkPad P1 Gen 5 21DC000FIV לנובו,Lenovo,NaN,1.81,NaN,16.0,Intel Core i7,2700.0,NaN,NaN,16.0,IPS,2560x1600,0.0,10727
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H800DGIV לנובו,Lenovo,NaN,1.65,ללא,8.0,Intel Core i5,2400.0,NaN,5400+SSD,15.6,LCD,1920x1080,0.0,1999
מחשב נייד Lenovo IdeaPad Flex 5 14IAU7 82R700A0IV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4344
מחשב נייד Asus ZenBook Flip 13 OLED UX363EA-HP555W אסוס,Asus,NaN,1.3,NaN,16.0,Intel Core i5,2400.0,512.0,SSD,13.3,OLED,1920x1080,1.0,4719
מחשב נייד Lenovo IdeaPad 5 15IIL05 81YK00TMIV לנובו,Lenovo,NaN,1.66,ללא,8.0,Intel Core i5,1000.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3090
מחשב נייד Lenovo Yoga 7 14IAL7 82QE008MIV לנובו,Lenovo,NaN,1.42,NaN,16.0,Intel Core i5,3300.0,512.0,SSD,14.0,OLED,2880X1800,1.0,4819
מחשב נייד HP ProBook 450 G7 8VU15EA,HP,NaN,2.0,ללא,8.0,Intel Core i5,1600.0,256.0,SSD,15.6,NaN,1920x1080,0.0,3281
מחשב נייד Dell Latitude 3520 L3520-6013 דל,Dell,NaN,1.78,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2970
מחשב נייד Asus VivoBook Pro 16X OLED N7600PC-L2227 אסוס,Asus,NaN,1.95,ללא,32.0,Intel Core i7,3300.0,1000.0,SSD,16.0,OLED,3840X2400,0.0,6448
מחשב נייד Apple MacBook Pro 13 Z11D0005L אפל,Apple,NaN,1.4,MacOS,16.0,NaN,NaN,256.0,SSD,13.3,IPS,2560x1600,0.0,5890
מחשב נייד Lenovo ThinkBook 13s G4 IAP 21AR006CIV לנובו,Lenovo,NaN,1.23,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,1920x1200,0.0,3774
מחשב נייד Asus VivoBook 15 K513EQ-L1547W אסוס,Asus,NaN,1.8,NaN,16.0,Intel Core i7,2800.0,1000.0,SSD,15.6,OLED,1920x1080,0.0,4250
מחשב נייד Asus ExpertBook B5 B5302FEA-LG0784R אסוס,Asus,NaN,1.2,Windows 10 PRO,16.0,Intel Core i5,2400.0,NaN,NaN,13.3,LCD,1920x1080,1.0,5199
מחשב נייד Dell Latitude 3410 LT-RD33-12259 דל,Dell,NaN,1.61,ללא,8.0,Intel Core i5,1600.0,256.0,SSD,14.0,LCD,1920x1080,0.0,3350
