name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Asus K513EA-L12104 אסוס,Asus,NaN,1.8,ללא,16.0,Intel Core i5,2400.0,NaN,NaN,15.6,OLED,1920x1080,0.0,2949
מחשב נייד Asus VivoBook 14 K413EP-EB435W אסוס,Asus,NaN,1.4,NaN,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LCD,1920x1080,0.0,3389
מחשב נייד Dell G15 5520 IN-RD33-14065 דל,Dell,NaN,2.51,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,5232
מחשב נייד Dell Vostro 3510 VM-RD09-13385 דל,Dell,NaN,1.69,NaN,8.0,Intel Core i7,2800.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3290
מחשב נייד Dell Vostro 5510 V5510-5682 דל,Dell,NaN,NaN,Windows 10 PRO,8.0,Intel Core i5,3200.0,256.0,SSD,15.6,LCD,1920x1080,0.0,3408
מחשב נייד Dell XPS13 9310 XPS13-8400 דל,Dell,NaN,1.2,Windows 10 PRO,16.0,Intel Core i7,2800.0,1000.0,SSD,13.4,LCD,3840X2400,1.0,10900
מחשב נייד Asus ExpertBook B9 B9400CEA-KC0435X אסוס,Asus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6990
מחשב נייד Lenovo IdeaPad Flex 5 15ITL05 82HT008XIV לנובו,Lenovo,NaN,1.8,NaN,8.0,Intel Core i3,3000.0,256.0,SSD,15.6,IPS,1920x1080,1.0,2547
מחשב נייד Lenovo ThinkPad P1 Gen 5 21DC000RIV לנובו,Lenovo,NaN,1.81,NaN,32.0,Intel Core i7,NaN,NaN,NaN,16.0,IPS,2560x1600,0.0,12200
מחשב נייד Dell Latitude 5410 LT-RD33-12124 דל,Dell,NaN,1.48,ללא,16.0,Intel Core i7,1800.0,512.0,SSD,14.0,NaN,1920x1080,0.0,5824
מחשב נייד Lenovo IdeaPad Yoga 9 14IAP7 82LU0020IV לנובו,Lenovo,NaN,1.4,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,OLED,3840X2400,1.0,6788
מחשב נייד Dell Vostro 3510 VM-RD09-13376 דל,Dell,NaN,1.69,NaN,8.0,Intel Core i5,1000.0,256.0,SSD,15.6,LCD,1920x1080,0.0,2354
מחשב נייד Asus ROG Zephyrus G15 GA503RS-HQ011 אסוס,Asus,NaN,1.9,ללא,32.0,AMD Ryzen 9,3000.0,NaN,NaN,15.6,LCD,2560x1440,0.0,10989
מחשב נייד Dell XPS 15 9520 XP-RD33-13666 דל,Dell,NaN,2.05,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,15.6,OLED,3456X2160,1.0,11732
מחשב נייד Asus VivoBook 15 X513EA-BQ1703W אסוס,Asus,NaN,1.8,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2490
מחשב נייד Acer Nitro 5 AN517-41-R4ZL NH.QAREC.00E אייסר,Acer,NaN,2.7,NaN,16.0,AMD Ryzen 7,3200.0,1000.0,SSD,17.3,LED,1920x1080,0.0,4990
מחשב נייד Microsoft Surface Laptop Go Core i5 16GB 256GB מיקרוסופט,Microsoft,NaN,NaN,NaN,16.0,Intel Core i5,1000.0,256.0,NaN,NaN,NaN,NaN,NaN,5489
מחשב נייד Asus K513EA-L11997 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,OLED,1920x1080,0.0,2699
מחשב נייד Dell Vostro 3510 VM-RD09-13604 דל,Dell,NaN,1.69,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2401
מחשב נייד HP ProBook 450 G7 9HP70EA,HP,NaN,2.0,Windows  10,8.0,Intel Core i5,1600.0,512.0,SSD,15.6,NaN,1920x1080,0.0,3989
מחשב נייד Lenovo Legion 5 15ITH6 82JK00AQIV לנובו,Lenovo,NaN,2.4,NaN,16.0,Intel Core i5,2700.0,NaN,NaN,15.6,IPS,1920x1080,0.0,5198
מחשב נייד Lenovo IdeaPad 5-14ITL05 82FE005UIV לנובו,Lenovo,NaN,1.5,ללא,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,IPS,1920x1080,0.0,2389
מחשב נייד Dell Latitude 5310 LT-RD33-12413 דל,Dell,NaN,1.22,ללא,16.0,Intel Core i5,1600.0,512.0,SSD,13.3,LCD,1920x1080,0.0,5190
מחשב נייד HP ZBook Studio G8 314G1EA,HP,NaN,1.79,Windows 10 PRO,32.0,Intel Core i7,2500.0,1000.0,SSD,15.6,IPS,1920x1080,0.0,8800
מחשב נייד Dell XPS 13 Plus 9320 XP-RD33-13664 דל,Dell,NaN,1.26,NaN,32.0,Intel Core i7,NaN,NaN,NaN,13.4,LCD,3840X2400,1.0,10887
מחשב נייד HP 15-dw1025nj 2B4Z0EA,HP,NaN,1.78,ללא,16.0,Intel Core i7,1800.0,NaN,NaN,15.6,LED,1920x1080,1.0,3890
מחשב נייד HP Pavilion X360 7C416EA,HP,NaN,1.51,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,LCD,1920x1080,1.0,3097
מחשב נייד Asus S330FL-EY004T אסוס,Asus,NaN,1.2,Windows  10,8.0,Intel Core i5,1600.0,256.0,SSD,13.3,NaN,1920x1080,0.0,3990
מחשב נייד Lenovo Yoga Slim 7 ProX 14ARH7 82TL0064IV לנובו,Lenovo,NaN,1.45,NaN,16.0,AMD Ryzen 7,3200.0,NaN,NaN,14.5,IPS,3072x1920,1.0,6215
מחשב נייד Dell Inspiron 5510 IN-RD33-13327 דל,Dell,NaN,1.57,NaN,8.0,Intel Core i5,3100.0,NaN,NaN,15.6,LED,1920x1080,0.0,2898
מחשב נייד Lenovo ThinkPad X1 Yoga Gen 7 21CD004YIV לנובו,Lenovo,NaN,1.38,NaN,32.0,Intel Core i7,NaN,NaN,NaN,14.0,IPS,1920x1200,1.0,10718
