name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Asus ProArt Studiobook 16 3D OLED W7604J3D-MY052 אסוס,Asus,NaN,2.4,ללא,32.0,Intel Core i9,NaN,NaN,NaN,16.0,OLED,NaN,1.0,11349
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN015 אסוס,Asus,NaN,2.6,ללא,16.0,Intel Core i7,NaN,NaN,NaN,15.6,IPS,1920x1080,0.0,4449
מחשב נייד Asus ROG Zephyrus G16 GU603VI-N4021W אסוס,Asus,NaN,2.0,NaN,32.0,Intel Core i9,NaN,NaN,NaN,16.0,LCD,2560x1600,0.0,11368
מחשב נייד Dynabook Satellite Pro C50-J-13F,Dynabook,NaN,1.9,NaN,16.0,Intel Core i7,NaN,NaN,NaN,15.6,IPS,1920x1080,0.0,4830
מחשב נייד Asus X515JA-BR070T אסוס,Asus,NaN,1.7,Windows  10,4.0,Intel Core i3,1200.0,NaN,NaN,15.6,LCD,1366x768,0.0,2118
מחשב נייד Asus VivoBook 15 X1504VA-BQ142 אסוס,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2789
מחשב נייד Asus VivoBook 15 X1504VA-BQ003 אסוס,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2989
מחשב נייד Asus X1404ZA-NK100W אסוס,Asus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3690
מחשב נייד EliteBook 630 G9‎ 6A2H0EA HP,HP,NaN,1.28,ללא,8.0,Intel Core i7,NaN,NaN,NaN,13.3,IPS,1920x1080,0.0,3340
מחשב נייד Asus Zenbook 14 UX3402VA-KM064W אסוס,Asus,NaN,1.39,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,OLED,2880X1800,0.0,6621
מחשב נייד Asus Vivobook Pro 15 K6500ZH-HN041W אסוס,Asus,NaN,1.75,NaN,16.0,Intel Core i5,NaN,NaN,NaN,15.6,IPS,1920x1080,0.0,4249
מחשב נייד Apple MacBook Pro 16 M2 Pro Z174000YN אפל,Apple,NaN,2.1,MacOS,32.0,NaN,NaN,NaN,NaN,NaN,LCD,NaN,0.0,12547
מחשב נייד Acer Predator Helios 16 NH.QJREC.003 אייסר,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9790
מחשב נייד Acer Predator Helios 16 NH.QJREC.006 אייסר,Acer,NaN,2.6,NaN,16.0,Intel Core i7,NaN,NaN,NaN,16.0,IPS,2560x1600,0.0,10290
מחשב נייד Gigabyte G5 15 G5-MF-E2EE333SD,Gigabyte,NaN,1.9,ללא,8.0,Intel Core i5,NaN,NaN,NaN,15.6,LCD,1920x1080,0.0,4290
מחשב נייד Asus VivoBook 14 X1404ZA-NK089W אסוס,Asus,NaN,1.4,NaN,16.0,Intel Core i5,NaN,NaN,NaN,14.0,LCD,1920x1080,0.0,3097
מחשב נייד Asus VivoBook 14 X1404ZA-NK088W אסוס,Asus,NaN,1.4,NaN,8.0,Intel Core i5,NaN,NaN,NaN,14.0,LCD,1920x1080,0.0,2899
מחשב נייד Lenovo Yoga 6 13ALC6 82WU005JIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4767
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H8039GIV לנובו,Lenovo,NaN,1.65,ללא,16.0,Intel Core i5,NaN,NaN,NaN,15.6,LED,1920x1080,0.0,2299
מחשב נייד Lenovo IdeaPad Gaming 3 15IAH7 82S90137IV לנובו,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4730
מחשב נייד Lenovo IdeaPad Gaming 3 15IAH7 82S9013AIV לנובו,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4190
מחשב נייד Lenovo IdeaPad Gaming 3 15IAH7 82S90139IV לנובו,Lenovo,NaN,NaN,ללא,16.0,Intel Core i7,NaN,NaN,NaN,15.6,IPS,1920x1080,0.0,5630
מחשב נייד Asus Vivobook S 14 Flip TP3402VA-KN050 אסוס,Asus,NaN,1.5,ללא,8.0,Intel Core i5,NaN,NaN,NaN,14.0,OLED,2880X1800,1.0,3990
מחשב נייד Asus VivoBook 15 X1504VA-BQ149 אסוס,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3400
