name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Latitude 5430 L5430-7227 דל,Dell,NaN,1.36,Windows 10 PRO,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1080,0.0,5480
מחשב נייד HP 15-dw3009nj 307Z8EA,HP,NaN,1.75,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,15.6,IPS,1920x1080,0.0,2799
מחשב נייד Dell Vostro 3520 V3520-7562 דל,Dell,NaN,1.66,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3990
מחשב נייד HP Pavilion x360 Convertible 14-dy0010nj 4G1H9EA,HP,NaN,1.82,Windows  10,8.0,Intel Core i7,2800.0,512.0,SSD,14.0,IPS,1920x1080,0.0,3690
מחשב נייד Asus X515EA-BQ946 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LED,1920x1080,0.0,1789
מחשב נייד Dell Vostro 3510 VM-RD09-14081 דל,Dell,NaN,1.69,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1693
מחשב נייד Lenovo ThinkBook 14 G4 IAP 21DH006XIV לנובו,Lenovo,NaN,1.4,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1080,0.0,3569
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00C7IV לנובו,Lenovo,NaN,NaN,NaN,8.0,Intel Core i3,3300.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1900
מחשב נייד HP 250 G9 6S6V5EA,HP,NaN,1.74,ללא,16.0,Intel Core i7,NaN,NaN,NaN,15.6,LCD,1920x1080,0.0,2933
מחשב נייד HP 250 G8 32M36EA,HP,NaN,1.74,ללא,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1835
מחשב נייד Lenovo V14 G3 IAP 82TS0042IV לנובו,Lenovo,NaN,1.43,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1080,0.0,2685
מחשב נייד Lenovo ThinkPad E14 Gen 4 21E300CDIV לנובו,Lenovo,NaN,1.64,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1080,0.0,3920
מחשב נייד Lenovo ThinkPad L15 Gen 3 21C3000EIV לנובו,Lenovo,NaN,1.76,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,IPS,1920x1080,0.0,4890
מחשב נייד Lenovo IdeaPad Duet 5 12IAU7 82TQ002QIV לנובו,Lenovo,NaN,1.12,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,NaN,LCD,2560x1600,1.0,4209
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H800CNIV לנובו,Lenovo,NaN,1.65,ללא,4.0,Intel Core i3,3000.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1698
מחשב נייד Lenovo ThinkBook 14 G4 IAP 21DH006TIV לנובו,Lenovo,NaN,1.4,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1080,0.0,3139
מחשב נייד Dell Vostro 5402 V5402-1115 דל,Dell,NaN,1.36,Windows 10 PRO,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,LCD,1920x1080,0.0,3990
מחשב נייד Asus Zenbook 14X OLED UM5401QA-L7192W אסוס,Asus,NaN,1.4,NaN,16.0,AMD Ryzen 5,3300.0,NaN,NaN,14.0,OLED,2880X1800,0.0,4339
מחשב נייד HP ProBook 445 G8 59W14EA,HP,NaN,1.38,ללא,16.0,AMD Ryzen 5,NaN,NaN,NaN,14.0,LCD,1920x1080,0.0,2590
מחשב נייד Lenovo ThinkPad L14 Gen 3 21C1003SIV לנובו,Lenovo,NaN,1.39,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1080,0.0,4097
מחשב נייד HP 340S G7 8VV95EA,HP,NaN,1.47,Windows  10,8.0,Intel Core i5,1000.0,256.0,SSD,14.0,NaN,1920x1080,0.0,3270
מחשב נייד Lenovo IdeaPad Yoga 7 14IAL7 82QE008YIV לנובו,Lenovo,NaN,1.45,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,NaN,1.0,4829
מחשב נייד HP ProBook 440 G8 4K7J0EA,HP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3390
מחשב נייד Lenovo IdeaPad 3 17IAU7 82RL004YIV לנובו,Lenovo,NaN,NaN,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,17.3,IPS,1920x1080,0.0,4092
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H802EUIV לנובו,Lenovo,NaN,1.65,ללא,16.0,Intel Core i7,2800.0,512.0,SSD,15.6,LCD,1920x1080,0.0,3385
מחשב נייד Lenovo ThinkPad L15 Gen 3 21C30026IV לנובו,Lenovo,NaN,NaN,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,1920x1080,0.0,4269
מחשב נייד Asus TUF Gaming F17 FX706HC-HX026W אסוס,Asus,NaN,2.6,NaN,16.0,Intel Core i7,NaN,512.0,SSD,17.3,LCD,1920x1080,0.0,5098
מחשב נייד Lenovo IdeaPad Yoga 9 15IMH5 82DE001UIV לנובו,Lenovo,NaN,2.0,Windows 10 PRO,16.0,Intel Core i9,2400.0,1000.0,SSD,15.6,IPS,3840x2160,1.0,7109
מחשב נייד Lenovo Yoga Slim 7 Pro 14IAP7 82SV0079IV לנובו,Lenovo,NaN,1.32,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,OLED,2880X1800,0.0,5184
מחשב נייד Lenovo IdeaPad 5 14ITL05 82FE006VIV לנובו,Lenovo,NaN,1.38,ללא,8.0,Intel Core i7,2800.0,512.0,SSD,14.0,IPS,1920x1080,0.0,3449
מחשב נייד Huawei Matebook D15 BohrD-WDH9D וואווי,Huawei,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2290
מחשב נייד Lenovo ThinkBook 15 G4 IAP 21DJ0063IV לנובו,Lenovo,NaN,1.7,ללא,8.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,1920x1080,0.0,2621
מחשב נייד Dell Vostro 5402 V5402-1222 דל,Dell,NaN,1.36,Windows 10 PRO,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LCD,1920x1080,0.0,3590
מחשב נייד Lenovo Legion 5 15IAH7 82RC0053IV לנובו,Lenovo,NaN,2.35,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,2560x1440,0.0,5297
מחשב נייד Lenovo Yoga 6 13ALC7 82UD0010IV לנובו,Lenovo,NaN,1.36,NaN,16.0,AMD Ryzen 5,2100.0,NaN,NaN,13.3,IPS,1920x1200,1.0,3835
מחשב נייד Dell Vostro V3500-5600 דל,Dell,NaN,1.78,Windows 10 PRO,8.0,Intel Core i5,2400.0,512.0,SSD,15.6,LCD,1920x1080,0.0,3290
