name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Precision M7560 M7560-8401 דל,Dell,NaN,2.45,Windows 10 PRO,16.0,Intel Core i7,2300.0,512.0,SSD,15.6,LCD,1920x1080,0.0,10090
מחשב נייד Asus VivoBook 15 X513EA-EJ2439W אסוס,Asus,NaN,1.8,NaN,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,2579
מחשב נייד Dell XPS 13 9315 XP-RD33-13726 דל,Dell,NaN,1.16,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,13.4,LCD,3840X2400,1.0,9121
מחשב נייד Dell Latitude 3510 LT-RD33-12264 דל,Dell,NaN,1.91,Windows 10 PRO,8.0,Intel Core i3,2100.0,256.0,SSD,15.6,LCD,1920x1080,0.0,3489
מחשב נייד Lenovo Yoga 9 15IMH5 82DE001KIV לנובו,Lenovo,NaN,2.0,Windows 10 PRO,16.0,Intel Core i7,2600.0,512.0,SSD,15.6,IPS,1920x1080,1.0,8990
מחשב נייד Lenovo ThinkBook 14 G2 ITL 20VD00UNIV לנובו,Lenovo,NaN,1.4,NaN,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,IPS,1920x1080,0.0,2738
מחשב נייד Lenovo Yoga Duet 7 13IML05 82AS007LIV לנובו,Lenovo,NaN,1.2,Windows 10 PRO,16.0,Intel Core i7,1800.0,1000.0,SSD,13.0,LCD,2160x1350,1.0,6590
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H800F8IV לנובו,Lenovo,NaN,1.65,ללא,8.0,Intel Core i7,2800.0,NaN,SSD+5400RPM,15.6,IPS,1920x1080,0.0,2925
מחשב נייד Asus X515EA-BQ863 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1730
מחשב נייד Dell Inspiron 3511 N3511-5468 דל,Dell,NaN,1.73,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3000
מחשב נייד Lenovo Yoga Slim 7 Pro 14IAP7 82SV006TIV לנובו,Lenovo,NaN,1.32,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,IPS,2880X1800,0.0,5056
מחשב נייד Lenovo IdeaPad 5 Pro 16ACH6 82L5003DIV לנובו,Lenovo,NaN,1.9,Windows  10,16.0,AMD Ryzen 7,3200.0,1000.0,SSD,16.0,IPS,2560x1600,0.0,6990
מחשב נייד Lenovo Yoga 7 15ITL5 82BJ00ENIV לנובו,Lenovo,NaN,1.9,NaN,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,IPS,1920x1080,1.0,4120
מחשב נייד HP 250 G8 2X7K9EA,HP,NaN,1.74,Windows 10 PRO,16.0,Intel Core i7,1700.0,NaN,NaN,15.6,IPS,1920x1080,0.0,3390
מחשב נייד Lenovo IdeaPad 5 15IIL05 81YK00U5IV לנובו,Lenovo,NaN,1.66,ללא,16.0,Intel Core i5,1000.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3480
מחשב נייד HP ProBook 450 G9 6A2B8EA,HP,NaN,1.74,ללא,16.0,Intel Core i7,3500.0,512.0,NaN,15.6,IPS,1920x1080,0.0,3569
מחשב נייד HP HP240 G8 43W70EA,HP,NaN,1.47,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,14.0,LCD,1920x1080,0.0,1690
מחשב נייד Dell Inspiron 5402 IN-RD33-12747 דל,Dell,NaN,1.42,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LED,1920x1080,0.0,3537
מחשב נייד HP ZBook Firefly 14 2C9Q1EA,HP,NaN,1.35,Windows 10 PRO,16.0,Intel Core i7,2800.0,512.0,SSD,14.0,IPS,1920x1080,0.0,5190
מחשב נייד Lenovo IdeaPad 5 15IIL05 81YK00U9IV לנובו,Lenovo,NaN,1.66,Windows  10,16.0,Intel Core i7,1300.0,512.0,SSD,15.6,IPS,1920x1080,0.0,5090
מחשב נייד Asus TUF Gaming F17 FX707ZE-HX075 אסוס,Asus,NaN,2.6,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,17.3,LCD,1920x1080,0.0,5059
