name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Apple MacBook Pro 16 Z14Z000BZ אפל,Apple,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9290
מחשב נייד Dell Precision 5470 PM-RD33-13634 דל,Dell,NaN,1.48,Windows 10 PRO,32.0,Intel Core i7,NaN,NaN,NaN,14.0,LED,1920x1200,0.0,11288
מחשב נייד Dell Latitude 5430 LT-RD33-13974 דל,Dell,NaN,1.36,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,14.0,LCD,1920x1080,0.0,4658
מחשב נייד Lenovo ThinkPad T16 Gen 1 21BV006VIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7685
מחשב נייד Lenovo ThinkPad E14 Gen 2 20TA005BIV לנובו,Lenovo,NaN,1.64,Windows 10 PRO,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,IPS,1920x1080,0.0,3490
מחשב נייד HP 14s-dq5012nj 7C422EA,HP,NaN,1.46,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1080,0.0,3199
מחשב נייד Dell Latitude 7420 L7420-6138 דל,Dell,NaN,1.22,Windows 10 PRO,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,LCD,1920x1080,0.0,4996
מחשב נייד HP Victus 16-e0000nj 498A4EA,HP,NaN,2.48,Windows  10,16.0,NaN,2300.0,512.0,SSD,16.1,IPS,1920x1080,0.0,4290
מחשב נייד Lenovo ThinkPad X390 20Q0000MIV לנובו,Lenovo,NaN,1.29,Windows  10,16.0,Intel Core i5,1600.0,256.0,SSD,13.3,IPS,1920x1080,0.0,6300
מחשב נייד Lenovo IdeaPad 4G 14Q 82KE000GIV לנובו,Lenovo,NaN,1.2,Windows 10 PRO,8.0,Qualcomm Snapdragon,NaN,NaN,NaN,14.0,IPS,1920x1080,0.0,3590
מחשב נייד Dell Vostro 3510 VM-RD09-13166 דל,Dell,NaN,1.69,ללא,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,2605
מחשב נייד Dell Inspiron 7400 N7400-7796 דל,Dell,NaN,1.25,Windows  10,16.0,Intel Core i7,2800.0,1000.0,SSD,14.5,LCD,2560x1600,0.0,5749
מחשב נייד Dell Latitude 7320 L7320-8120 דל,Dell,NaN,1.39,Windows 10 PRO,16.0,Intel Core i7,3000.0,512.0,SSD,13.3,LCD,1920x1080,1.0,6971
מחשב נייד Lenovo ThinkPad X13 Gen 2 20WK009NIV לנובו,Lenovo,NaN,1.31,Windows 10 PRO,16.0,Intel Core i5,2400.0,512.0,SSD,13.3,IPS,1920x1200,0.0,5588
מחשב נייד Dell Inspiron 5402 IN-RD33-13441 דל,Dell,NaN,1.42,NaN,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LED,1920x1080,0.0,3695
מחשב נייד Lenovo IdeaPad Yoga 9 14ITL5 82BG004WIV לנובו,Lenovo,NaN,1.44,Windows 10 PRO,16.0,Intel Core i7,3000.0,1000.0,SSD,14.0,IPS,3840x2160,1.0,8280
מחשב נייד Dell Latitude 9430 LT-RD33-13924 דל,Dell,NaN,1.27,Windows 10 PRO,16.0,Intel Core i7,NaN,NaN,NaN,14.0,LCD,1920x1200,0.0,10219
מחשב נייד Dell Inpsiron 5410 N5410-6444 דל,Dell,NaN,NaN,NaN,8.0,Intel Core i5,2500.0,NaN,NaN,14.0,LCD,1920x1080,1.0,3748
מחשב נייד Asus VivoBook 15 K513EP-L1936W אסוס,Asus,NaN,1.8,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,NaN,0.0,3380
