name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד HP Pavilion 15-eg2004nj 7C426EA,HP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3732
מחשב נייד Dell XPS 13 9310 XP-RD33-12380 דל,Dell,NaN,1.27,Windows 10 PRO,16.0,Intel Core i7,2800.0,1000.0,SSD,13.4,LCD,3840X2400,1.0,12023
מחשב נייד Dell Latitude 3420 LT-RD33-13083 דל,Dell,NaN,1.52,Windows  10,8.0,Intel Core i5,2400.0,NaN,NaN,14.0,LCD,1920x1080,1.0,3740
מחשב נייד Dell Vostro 3500 V3500-5216 דל,Dell,NaN,1.78,Windows  10,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2492
מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0004NIV לנובו,Lenovo,NaN,1.55,Windows 10 PRO,16.0,AMD Ryzen 7 PRO,1900.0,NaN,NaN,14.0,IPS,1920x1080,1.0,4489
מחשב נייד Dell Inspiron 5410 IN-RD33-13160 דל,Dell,NaN,1.5,NaN,8.0,Intel Core i5,2500.0,NaN,NaN,14.0,LCD,1920x1080,1.0,3290
מחשב נייד Dell Precision 7760 M7760-9720 דל,Dell,NaN,3.01,Windows 10 PRO,32.0,Intel Core i9,2600.0,1000.0,SSD,17.3,LCD,1920x1080,0.0,14489
מחשב נייד EliteBook 840 G9‎ 6F606EA HP,HP,NaN,1.36,Windows 10 PRO,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1200,1.0,5849
מחשב נייד Dell Latitude 7400 LT-RD33-11569 דל,Dell,NaN,1.49,Windows  10,16.0,Intel Core i7,1900.0,512.0,SSD,14.0,LED,1920x1080,1.0,9799
מחשב נייד Acer Predator Triton 500 SE PT516-51s-73LB NH.QAKEC.00E אייסר,Acer,NaN,2.4,NaN,8.0,Intel Core i7,2300.0,NaN,NaN,16.0,LED,2560x1600,0.0,9149
מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0006VIV לנובו,Lenovo,NaN,1.46,NaN,16.0,AMD Ryzen 7 PRO,1900.0,NaN,NaN,14.0,LCD,1920x1080,0.0,5790
