name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo IdeaPad Flex 5 15ITL05 82HT0033IV לנובו,Lenovo,NaN,1.8,Windows  10,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,IPS,1920x1080,1.0,4014
מחשב נייד Lenovo Legion 5 15IAH7 82RC005RIV לנובו,Lenovo,NaN,2.35,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,IPS,2560x1440,0.0,6259
מחשב נייד Dell Vostro 5410 VM-RD09-13216 דל,Dell,NaN,1.43,NaN,8.0,Intel Core i5,3200.0,NaN,NaN,14.0,LED,1920x1080,0.0,3090
מחשב נייד Lenovo IdeaPad Flex 5 14ITL05 82HS006RIV לנובו,Lenovo,NaN,1.5,Windows  10,16.0,Intel Core i5,2400.0,512.0,SSD,14.0,LCD,1920x1080,1.0,4090
מחשב נייד Lenovo Legion 5 Pro 16IAH7H 82RF0086IV לנובו,Lenovo,NaN,2.49,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,2560x1600,0.0,10020
מחשב נייד Acer Swift 3 SF314-59-5940 NX.A0PEC.002 אייסר,Acer,NaN,1.2,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LCD,1920x1080,0.0,3099
מחשב נייד HP Pavilion x360 14-ek0008nj 7C445EA,HP,NaN,1.51,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1080,1.0,4911
מחשב נייד Lenovo ThinkPad X1 Extreme Gen 5 21DE0022IV לנובו,Lenovo,NaN,NaN,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,3840X2400,1.0,13307
מחשב נייד Lenovo IdeaPad 3 17ITL6 82H900MCIV לנובו,Lenovo,NaN,2.1,NaN,8.0,Intel Core i5,2400.0,512.0,SSD,17.3,IPS,1920x1080,0.0,3040
מחשב נייד HP Pavilion 15-cs3055wm 8MZ10UA,HP,NaN,1.84,Windows  10,8.0,Intel Core i5,1000.0,NaN,NaN,15.6,IPS,1920x1080,0.0,3567
מחשב נייד Lenovo Yoga 9 14IAP7 82LU002DIV לנובו,Lenovo,NaN,1.4,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,OLED,2880X1800,1.0,6903
מחשב נייד Lenovo IdeaPad Flex 5 15ITL05 82HT002FIV לנובו,Lenovo,NaN,1.8,Windows  10,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,1.0,3189
מחשב נייד HP ENVY x360 Convert 13-bd0006nj 4M155EA,HP,NaN,1.32,Windows  10,16.0,Intel Core i7,2800.0,NaN,NaN,13.3,OLED,1920x1080,1.0,5550
מחשב נייד Asus TUF Dash F15 FX516PM-AZ046 אסוס,Asus,NaN,2.0,ללא,16.0,Intel Core i7,3000.0,1000.0,SSD,15.6,IPS,1920x1080,0.0,6250
