name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Vostro 3520 VM-RD09-13960 דל,Dell,NaN,1.69,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3794
מחשב נייד Asus VivoBook 14 X415JA-BV066T אסוס,Asus,NaN,1.4,Windows  10,8.0,Intel Core i3,1200.0,512.0,SSD,14.0,LCD,1366x768,0.0,2300
מחשב נייד Asus ExpertBook B1 B1500CEAE-BQ2570R אסוס,Asus,NaN,1.73,Windows 10 PRO,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,3339
מחשב נייד Dell Inspiron 5502 IN-RD33-12756 דל,Dell,NaN,1.57,Windows  10,8.0,Intel Core i7,2800.0,512.0,SSD,15.6,LED,1920x1080,0.0,3893
מחשב נייד Dell Inspiron 5510 N5510-6620 דל,Dell,NaN,NaN,NaN,16.0,Intel Core i5,3200.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3750
מחשב נייד HP Envy 13-ba0013nj 307X4EA,HP,NaN,2.34,Windows  10,16.0,Intel Core i7,2800.0,1000.0,SSD,13.3,LCD,1920x1080,1.0,5667
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00CPIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1900
מחשב נייד Lenovo ThinkBook 16p G2 ACH 20YM002WIV לנובו,Lenovo,NaN,1.99,NaN,16.0,AMD Ryzen 5,2300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,4590
מחשב נייד HP OMEN 16-c0011nj 4T9M3EA,HP,NaN,2.3,ללא,32.0,AMD Ryzen 7,1900.0,NaN,NaN,16.1,LCD,1920x1080,0.0,6199
מחשב נייד Lenovo Yoga 7 14IAL7 82QE008GIV לנובו,Lenovo,NaN,1.45,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,IPS,NaN,1.0,5480
