name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Asus ProArt Studiobook 16 H5600QM-L2291 אסוס,Asus,NaN,2.4,ללא,16.0,AMD Ryzen 7,3200.0,NaN,NaN,16.0,LCD,NaN,0.0,8184
מחשב נייד Dell XPS13 9320 XPS13-8221 דל,Dell,NaN,1.26,NaN,32.0,Intel Core i7,NaN,2000.0,SSD,13.4,OLED,3456X2160,1.0,12508
מחשב נייד Lenovo ThinkPad P15v Gen 2 21A9000RIV לנובו,Lenovo,NaN,2.07,Windows 10 PRO,32.0,Intel Core i9,2600.0,1000.0,SSD,15.6,IPS,1920x1080,1.0,10190
מחשב נייד Lenovo ThinkPad P15v Gen 2 21A90009IV לנובו,Lenovo,NaN,2.07,Windows 10 PRO,32.0,Intel Core i7,2300.0,1000.0,SSD,15.6,IPS,3840x2160,0.0,9190
מחשב נייד Lenovo Legion 5 16ITH6 82JD006VIV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i7,2300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,6755
מחשב נייד Lenovo ThinkPad X1 Carbon Gen 10 21CB0097IV לנובו,Lenovo,NaN,1.12,NaN,16.0,Intel Core i7,NaN,NaN,NaN,14.0,IPS,1920x1200,1.0,8790
מחשב נייד Dell G15 5520 IN-RD33-14060 דל,Dell,NaN,2.51,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,7298
מחשב נייד Dell Latitude 7420 LT-RD33-12731 דל,Dell,NaN,1.33,Windows 10 PRO,16.0,Intel Core i7,3000.0,NaN,NaN,14.0,LCD,1920x1080,0.0,5648
מחשב נייד Apple MacBook Pro 13 Z16T000TG אפל,Apple,NaN,1.4,MacOS,16.0,NaN,NaN,NaN,NaN,13.3,LCD,2560x1600,0.0,6998
מחשב נייד Lenovo Yoga Slim 9 14IAP7 82T0004EIV לנובו,Lenovo,NaN,1.37,NaN,32.0,Intel Core i7,NaN,NaN,NaN,14.0,OLED,3840X2400,1.0,8328
מחשב נייד Lenovo Legion 5 15ITH6 82JH007HIV לנובו,Lenovo,NaN,2.4,NaN,32.0,Intel Core i7,2300.0,1000.0,SSD,15.6,LCD,2560x1440,0.0,8234
מחשב נייד Asus ROG Strix G15 G513QY-HQ007 אסוס,Asus,NaN,2.5,ללא,8.0,AMD Ryzen 9,3300.0,NaN,NaN,15.6,LCD,NaN,0.0,8366
מחשב נייד HP EliteBook 840 G8 4J5E5EA,HP,NaN,1.32,Windows 10 PRO,16.0,Intel Core i7,2800.0,512.0,SSD,14.0,IPS,1920x1080,0.0,6286
מחשב נייד Dell XPS 13 Plus 9320 XP-RD33-13831 דל,Dell,NaN,1.26,NaN,32.0,Intel Core i7,NaN,NaN,NaN,13.4,OLED,3456X2160,1.0,11284
מחשב נייד Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006KIV לנובו,Lenovo,NaN,0.98,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,2560x1600,1.0,4785
מחשב נייד Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006LIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4785
מחשב נייד HP ZBook Firefly 15 G8 2C9R5EA,HP,NaN,1.7,Windows 10 PRO,16.0,Intel Core i7,2800.0,1000.0,SSD,15.6,LCD,1920x1080,0.0,7389
