name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Vostro 5620 VM-RD09-14078 דל,Dell,NaN,1.91,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,16.0,LCD,1920x1200,0.0,4048
מחשב נייד Dell Inspiron G5 Gaming 5500 G5500-8100 דל,Dell,NaN,2.34,Windows  10,16.0,Intel Core i7,1800.0,1000.0,SSD,15.6,LED,1920x1080,0.0,6049
מחשב נייד Asus X515EA-BQ1185 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1999
מחשב נייד Lenovo IdeaPad Gaming 3 16IAH7 82SA006QIV לנובו,Lenovo,NaN,2.6,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,1920x1200,0.0,5274
מחשב נייד Lenovo Legion 5 Pro 16ACH6H 82JQ00A2IV לנובו,Lenovo,NaN,2.45,ללא,32.0,AMD Ryzen 7,3200.0,1000.0,SSD,16.0,IPS,2560x1600,0.0,7489
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H801UFIV לנובו,Lenovo,NaN,1.65,Windows 11,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,2348
מחשב נייד Lenovo Legion 5 Pro 16IAH7H 82RF007QIV לנובו,Lenovo,NaN,2.49,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,2560x1600,0.0,7470
מחשב נייד Asus Vivobook Go 14 Flip TP1401KA-EC062W אסוס,Asus,NaN,1.45,NaN,8.0,Intel Pentium Silver,1100.0,256.0,SSD,14.0,LCD,1920x1080,1.0,2270
מחשב נייד Dell Vostro 5510 VM-RD09-13233 דל,Dell,NaN,1.66,ללא,8.0,Intel Core i5,3200.0,256.0,SSD,15.6,LED,1920x1080,0.0,3090
מחשב נייד HP 15s-fq2023nj 308J8EA,HP,NaN,1.69,Windows  10,8.0,Intel Core i3,3000.0,256.0,SSD,15.6,LCD,1920x1080,0.0,2269
מחשב נייד Lenovo IdeaPad 1 15IJL7 82LX0022IV לנובו,Lenovo,NaN,1.45,NaN,8.0,Intel Pentium Silver,1100.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1761
מחשב נייד Lenovo ThinkPad X13 Yoga Gen 3 21AW0043IV לנובו,Lenovo,NaN,1.19,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,1920x1200,1.0,6564
מחשב נייד Lenovo IdeaPad Flex 5 14IAU7 82R7009RIV לנובו,Lenovo,NaN,1.5,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1200,1.0,3625
מחשב נייד Asus TUF Gaming F17 FX707ZR-HX013W אסוס,Asus,NaN,2.6,NaN,16.0,Intel Core i7,NaN,512.0,SSD,17.3,LCD,1920x1080,0.0,6900
