name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell G15 5520 IN-RD33-14063 דל,Dell,NaN,2.51,ללא,16.0,Intel Core i9,2900.0,NaN,NaN,15.6,LED,2560x1440,0.0,8414
מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0000MIV לנובו,Lenovo,NaN,1.47,Windows 10 PRO,32.0,AMD Ryzen 7 PRO,1700.0,NaN,NaN,14.0,IPS,1920x1080,0.0,5850
מחשב נייד Lenovo ThinkBook 14s Yoga ITL 20WE006HIV לנובו,Lenovo,NaN,1.5,NaN,16.0,Intel Core i7,3200.0,NaN,NaN,14.0,IPS,1920x1080,1.0,4222
מחשב נייד Dell Vostro 5510 V5510-5007 דל,Dell,NaN,NaN,ללא,16.0,Intel Core i5,3200.0,512.0,SSD,15.6,LCD,1920x1080,0.0,3639
מחשב נייד Dell Inspiron 5410 IN-RD33-13477 דל,Dell,NaN,1.44,NaN,8.0,Intel Core i5,3200.0,NaN,NaN,14.0,LED,1920x1080,0.0,3098
מחשב נייד Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006UIV לנובו,Lenovo,NaN,0.98,NaN,16.0,Intel Core i7,NaN,512.0,SSD,13.3,IPS,2560x1600,1.0,5507
מחשב נייד Lenovo Yoga 7 16IAH7 82UF004PIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6699
מחשב נייד Asus ROG Zephyrus G15 GA503RW-HQ042W אסוס,Asus,NaN,1.9,NaN,16.0,AMD Ryzen 9,3000.0,NaN,NaN,15.6,LCD,2560x1440,0.0,8925
מחשב נייד Lenovo IdeaPad 5 14ITL05 82FE007NIV לנובו,Lenovo,NaN,1.38,Windows  10,16.0,Intel Core i7,2800.0,1000.0,SSD,14.0,IPS,1920x1080,0.0,5565
מחשב נייד Lenovo ThinkPad E14 Gen 2 20TA00EVIV לנובו,Lenovo,NaN,1.64,NaN,16.0,Intel Core i7,2800.0,512.0,SSD,14.0,IPS,1920x1080,0.0,4005
מחשב נייד HP 340s G7 2D220EA,HP,NaN,1.47,ללא,16.0,Intel Core i5,1000.0,512.0,SSD,14.0,IPS,1920x1080,0.0,3340
מחשב נייד Asus ROG Zephyrus G15 GA503RS-HQ012 אסוס,Asus,NaN,1.9,ללא,32.0,AMD Ryzen 9,3000.0,NaN,NaN,15.6,LCD,2560x1440,0.0,9971
מחשב נייד Lenovo Legion 5 Pro 16IAH7H 82RF007JIV לנובו,Lenovo,NaN,2.49,ללא,32.0,Intel Core i9,NaN,NaN,NaN,16.0,IPS,2560x1600,0.0,9420
מחשב נייד Asus X509JA-EJ280 אסוס,Asus,NaN,1.91,ללא,8.0,Intel Core i5,1000.0,256.0,SSD,15.6,LED,1920x1080,0.0,2990
מחשב נייד Lenovo ThinkPad L13 Gen 3 21B3004TIV לנובו,Lenovo,NaN,1.26,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,1920x1200,0.0,4360
מחשב נייד Acer Spin 5 NX.HQUET.007 אייסר,Acer,NaN,1.2,Windows  10,16.0,Intel Core i7,1300.0,512.0,NaN,13.5,LED,2256x1504,1.0,6189
מחשב נייד Asus VivoBook 15 X513EA-BQ3021 אסוס,Asus,NaN,1.8,ללא,16.0,Intel Core i7,2800.0,512.0,SSD,15.6,LCD,1920x1080,0.0,3256
מחשב נייד Lenovo ThinkPad T15 Gen 1 20S6000TIV לנובו,Lenovo,NaN,1.75,Windows  10,8.0,Intel Core i5,1600.0,256.0,SSD,15.6,IPS,1920x1080,0.0,5304
מחשב נייד Dell Inspiron 3511 IN-RD33-14024 דל,Dell,NaN,1.73,NaN,8.0,Intel Core i7,2800.0,NaN,NaN,15.6,LED,1920x1080,0.0,3790
