name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo Yoga C640-13IML 81UE003RIV לנובו,Lenovo,NaN,1.35,Windows  10,8,Intel Core i5,1600.0,256.0,SSD,13.3,IPS,1920x1080,1,4490
מחשב נייד Asus ExpertBook B1 B1500CEAE-EJ2965 אסוס,Asus,NaN,1.73,ללא,16,Intel Core i5,2400.0,512.0,SSD,15.6,LCD,1920x1080,0,3108
מחשב נייד Asus X415EA-EB570W אסוס,Asus,NaN,1.6,NaN,8,Intel Core i3,3000.0,NaN,NaN,14.0,LCD,1920x1080,0,2315
מחשב נייד Asus ExpertBook B1 B1500CEAE-BQ3109 אסוס,Asus,NaN,1.73,ללא,16,Intel Core i7,2800.0,NaN,NaN,15.6,LCD,1920x1080,0,3490
מחשב נייד HP EliteBook 860 G9 6F614EA,HP,NaN,1.76,Windows 10 PRO,32,Intel Core i7,NaN,NaN,NaN,16.0,IPS,1920x1200,1,6921
מחשב נייד Lenovo ThinkPad X1 Nano Gen 2 21E80025IV לנובו,Lenovo,NaN,NaN,NaN,16,Intel Core i7,NaN,NaN,NaN,13.0,IPS,2160x1350,0,8519
מחשב נייד Lenovo Yoga 7 14ITL5 82BH006QIV לנובו,Lenovo,NaN,1.4,Windows 10 PRO,16,Intel Core i7,2800.0,1000.0,SSD,14.0,IPS,1920x1080,1,5481
מחשב נייד Lenovo ThinkPad P15v Gen 2 21A9000MIV לנובו,Lenovo,NaN,2.07,Windows 10 PRO,16,Intel Core i7,2300.0,512.0,SSD,15.6,IPS,1920x1080,0,6690
מחשב נייד HP Spectre x360 14-ea0003nj 308J0EA,HP,NaN,1.34,Windows  10,16,Intel Core i7,2800.0,1000.0,SSD,15.6,IPS,1920x1080,0,7198
מחשב נייד Lenovo ThinkPad L13 Yoga Carbon 20R50005IV לנובו,Lenovo,NaN,1.43,Windows  10,8,Intel Core i5,1600.0,256.0,SSD,13.3,IPS,1920x1080,1,4599
מחשב נייד Lenovo IdeaPad Flex 5 16IAU7 82R8005UIV לנובו,Lenovo,NaN,2.1,NaN,16,Intel Core i7,3500.0,NaN,NaN,16.0,IPS,1920x1200,1,4343
מחשב נייד HP ProBook 450 G7 9HP68EA,HP,NaN,2.0,ללא,8,Intel Core i5,1600.0,256.0,SSD,15.6,IPS,1920x1080,0,3290
מחשב נייד Lenovo ThinkPad X13 Gen 2 20WK009WIV לנובו,Lenovo,NaN,1.31,Windows 10 PRO,16,Intel Core i7,2800.0,1000.0,SSD,13.3,IPS,1920x1200,0,6290
