name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo ThinkPad T15g Gen2 20YS000NIV לנובו,Lenovo,NaN,2.87,Windows 10 PRO,32.0,Intel Core i7,2300.0,NaN,NaN,15.6,IPS,3840x2160,0.0,11528
מחשב נייד Asus ROG Zephyrus M16 GU603HE-KR027T אסוס,Asus,NaN,1.9,Windows  10,16.0,Intel Core i7,2300.0,1000.0,SSD,16.3,LCD,1920x1200,0.0,9750
מחשב נייד HP ZBook Power G9 6B8H4EA,HP,NaN,NaN,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,8190
מחשב נייד Asus Expertbook B7 Flip B7402FEA-LA0108R אסוס,Asus,NaN,1.44,Windows 10 PRO,32.0,Intel Core i7,2900.0,NaN,NaN,14.0,LCD,1920x1200,1.0,8181
מחשב נייד Dell Precision 7560 PM-RD33-12861 דל,Dell,NaN,2.45,Windows 10 PRO,16.0,Intel Core i7,2300.0,512.0,SSD,15.6,LCD,1920x1080,0.0,9980
מחשב נייד Lenovo Legion 5 Pro 16ITH6 82JD007JIV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i7,2300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,9150
מחשב נייד Dell Precision 7670 PM-RD33-13856 דל,Dell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17924
מחשב נייד Dell XPS13 9320 XPS13-8442 דל,Dell,NaN,NaN,NaN,32.0,Intel Core i7,NaN,1000.0,SSD,13.4,LCD,3840X2400,1.0,11871
מחשב נייד HP Zbook 15 Studio 1J3T9EA,HP,NaN,1.7,Windows 10 PRO,32.0,Intel Core i9,2400.0,1000.0,SSD,15.6,LCD,3840x2160,0.0,11825
מחשב נייד Microsoft Surface Laptop 4 15 Ryzen 7 16GB 512GB מיקרוסופט,Microsoft,NaN,1.54,NaN,16.0,AMD Ryzen 7,2000.0,NaN,NaN,15.0,NaN,NaN,1.0,8499
מחשב נייד Dell XPS 15 9520 XP-RD33-13525 דל,Dell,NaN,2.05,NaN,32.0,Intel Core i9,NaN,NaN,NaN,15.6,OLED,3456X2160,1.0,12964
מחשב נייד Lenovo ThinkPad P1 Gen 5 21DC000YIV לנובו,Lenovo,NaN,1.81,NaN,32.0,Intel Core i7,NaN,NaN,NaN,16.0,IPS,2560x1600,0.0,15668
מחשב נייד Lenovo Legion 5 Pro 16ITH6 82JD007FIV לנובו,Lenovo,NaN,2.3,ללא,16.0,Intel Core i7,2300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,7294
מחשב נייד Dell Precision 5560 PM-RD33-12853 דל,Dell,NaN,1.84,Windows 10 PRO,16.0,Intel Core i7,2300.0,512.0,SSD,15.6,LCD,3840X2400,1.0,11090
מחשב נייד Asus ROG Strix SCAR 15 G533QR-HF073T אסוס,Asus,NaN,2.3,Windows 10 PRO,16.0,AMD Ryzen 7,3200.0,NaN,NaN,15.6,IPS,1920x1080,0.0,9389
מחשב נייד Lenovo ThinkPad T15g Gen 2 20YS000SIV לנובו,Lenovo,NaN,2.87,Windows 10 PRO,16.0,Intel Core i7,2300.0,NaN,NaN,15.6,IPS,1920x1080,0.0,11899
מחשב נייד Asus ROG Strix Scar 15 G533ZX-LN085 אסוס,Asus,NaN,2.3,ללא,16.0,Intel Core i9,2900.0,NaN,NaN,15.6,IPS,2560x1440,0.0,13324
מחשב נייד Microsoft Surface Laptop 4 15 i7 16GB 512GB מיקרוסופט,Microsoft,NaN,1.54,Windows 10 PRO,16.0,Intel Core i7,3000.0,512.0,NaN,15.0,LCD,NaN,1.0,8988
מחשב נייד HP Elite x360 1040 G9 5P6Z4EA,HP,NaN,1.35,Windows 10 PRO,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,IPS,1920x1200,1.0,7425
