name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Inpsiron 5410 N5410-6512 דל,Dell,NaN,NaN,Windows  10,8.0,Intel Core i5,2500.0,NaN,NaN,14.0,LCD,1920x1080,1.0,3792
מחשב נייד Lenovo Legion 5i 81Y600SAUS לנובו,Lenovo,NaN,2.4,Windows  10,8.0,Intel Core i7,2600.0,NaN,NaN,15.6,IPS,1920x1080,0.0,5790
מחשב נייד Dell Inspiron 7400 N7400-5760 דל,Dell,NaN,1.25,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,14.5,LCD,2560x1600,0.0,4201
מחשב נייד Dell Precision M7670 M7670-9443 דל,Dell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15006
מחשב נייד Dell Latitude 5521 LT-RD33-13242 דל,Dell,NaN,1.79,NaN,16.0,Intel Core i7,2500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,6342
מחשב נייד Lenovo Legion 5 16ITH6 82JF003EIV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i5,2700.0,NaN,NaN,16.0,IPS,2560x1600,0.0,6983
מחשב נייד Lenovo Legion 5 15ITH6 82JK00ATIV לנובו,Lenovo,NaN,2.4,ללא,16.0,Intel Core i5,2600.0,1000.0,SSD,15.6,IPS,1920x1080,0.0,5245
מחשב נייד Lenovo ThinkPad E15 Gen 2 20TD0054IV לנובו,Lenovo,NaN,1.9,ללא,16.0,Intel Core i5,2400.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3534
מחשב נייד Dell Vostro 5410 VM-RD09-13225 דל,Dell,NaN,1.43,ללא,16.0,Intel Core i7,NaN,NaN,NaN,14.0,LED,1920x1080,0.0,4248
מחשב נייד Lenovo Legion 5 Pro 16ARH7H 82RG00B2IV לנובו,Lenovo,NaN,2.49,NaN,32.0,AMD Ryzen 9,3300.0,NaN,NaN,16.0,IPS,2560x1600,0.0,9525
מחשב נייד Asus ROG Strix G15 G513RC-HN139 אסוס,Asus,NaN,2.1,ללא,8.0,AMD Ryzen 7,3200.0,NaN,NaN,15.6,LCD,NaN,0.0,6265
מחשב נייד Lenovo Legion 5 15IAH7 82RC005FIV לנובו,Lenovo,NaN,2.35,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,IPS,2560x1440,0.0,6235
מחשב נייד Lenovo ThinkPad P1 4nd Gen 20Y30017IV לנובו,Lenovo,NaN,1.81,Windows 10 PRO,16.0,Intel Core i7,3200.0,NaN,NaN,16.0,IPS,2560x1600,0.0,8578
מחשב נייד Lenovo Yoga 7 14ITL5 82BH00J9IV לנובו,Lenovo,NaN,1.43,NaN,16.0,Intel Core i7,2800.0,NaN,NaN,14.0,IPS,1920x1080,1.0,5589
מחשב נייד HP ProBook 450 G9 6A2A6EA,HP,NaN,1.74,ללא,8.0,Intel Core i7,3500.0,NaN,NaN,15.6,IPS,1920x1080,0.0,4348
