name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד HP OMEN 16-b0007nj 4T9L3EA,HP,NaN,NaN,Windows  10,32.0,Intel Core i7,2300.0,NaN,NaN,16.1,IPS,2560x1440,0.0,7268
מחשב נייד Dell Vostro 5510 V5510-7087 דל,Dell,NaN,NaN,NaN,16.0,Intel Core i7,3300.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3900
מחשב נייד HP 250 G8 4K7Z0EA,HP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015
מחשב נייד HP EliteBook 850 G6 8MJ29EA,HP,NaN,1.78,Windows  10,8.0,Intel Core i5,1800.0,512.0,SSD,15.6,NaN,1920x1080,0.0,4849
מחשב נייד Dell Vostro 5410 V5410-7416 דל,Dell,NaN,1.44,NaN,16.0,Intel Core i7,3300.0,NaN,NaN,14.0,LCD,1920x1080,0.0,4387
מחשב נייד Dell Latitude 5530 LT-RD33-13653 דל,Dell,NaN,1.59,ללא,16.0,Intel Core i7,NaN,NaN,NaN,15.6,LCD,1920x1080,0.0,5488
מחשב נייד Dell G15 5511 IN-RD33-13264 דל,Dell,NaN,2.57,ללא,16.0,Intel Core i5,2700.0,512.0,SSD,15.6,LED,1920x1080,0.0,4690
מחשב נייד Lenovo Yoga 9 15IMH5 82DE001NIV לנובו,Lenovo,NaN,2.0,Windows  10,16.0,Intel Core i7,2600.0,512.0,SSD,15.6,LCD,1920x1080,1.0,8190
מחשב נייד Dell Latitude 7410 L7410-8813 דל,Dell,NaN,1.46,Windows 10 PRO,16.0,Intel Core i7,1800.0,512.0,SSD,14.0,LCD,1920x1080,1.0,7860
מחשב נייד Lenovo ThinkBook 14-IIL 20SL00FEIV לנובו,Lenovo,NaN,1.5,ללא,8.0,Intel Core i3,1200.0,256.0,SSD,14.0,LCD,1920x1080,0.0,2244
מחשב נייד Asus TUF Gaming F15 FX506HM-HN004 אסוס,Asus,NaN,2.3,ללא,16.0,Intel Core i7,2300.0,512.0,SSD,15.6,LCD,1920x1080,0.0,5290
מחשב נייד Asus ExpertBook B9 B9400CBA-KC0499X אסוס,Asus,NaN,NaN,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1080,0.0,7518
מחשב נייד Lenovo Legion 5 Pro 16ITH6 82JF002XIV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i5,2700.0,NaN,NaN,16.0,IPS,2560x1600,0.0,5675
מחשב נייד Dell Vostro 3510 VM-RD09-13381 דל,Dell,NaN,1.69,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3047
