name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Asus X515EA-BQ863W אסוס,Asus,NaN,1.8,Windows 11,8.0,Intel Core i3,3000.0,512.0,SSD,15.6,LCD,1920x1080,0.0,2139
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00D2IV לנובו,Lenovo,NaN,NaN,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2537
מחשב נייד Dell Vostro 5620 V5620-7835 דל,Dell,NaN,1.91,NaN,16.0,Intel Core i7,NaN,NaN,NaN,16.0,LCD,1920x1200,0.0,4702
מחשב נייד Asus TUF Dash F15 FX516PC-HN004 אסוס,Asus,NaN,2.0,ללא,16.0,Intel Core i7,3300.0,512.0,SSD,15.6,LCD,1920x1080,0.0,4199
מחשב נייד Asus VivoBook S15 S533EA-BN136T אסוס,Asus,NaN,1.8,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,15.6,LCD,1920x1080,0.0,3500
מחשב נייד Lenovo ThinkPad X13 Yoga Gen 3 21AW0046IV לנובו,Lenovo,NaN,1.19,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,1920x1200,1.0,6915
מחשב נייד Lenovo ThinkPad P16s Gen 1 21BT000VIV לנובו,Lenovo,NaN,1.67,NaN,32.0,Intel Core i7,NaN,NaN,NaN,16.0,IPS,2560x1600,0.0,7669
מחשב נייד Lenovo IdeaPad 3 17ITL6 82H90017IV לנובו,Lenovo,NaN,2.1,Windows  10,8.0,Intel Core i3,3000.0,256.0,SSD,17.3,LCD,1600x900,0.0,2740
מחשב נייד Dell Latitude 3420 L3420-4523 דל,Dell,NaN,1.52,NaN,16.0,Intel Core i5,2400.0,NaN,NaN,14.0,LCD,1366x768,0.0,3929
מחשב נייד Dell Vostro 5410 V5410-5863 דל,Dell,NaN,1.44,NaN,16.0,Intel Core i5,3100.0,NaN,NaN,14.0,LCD,1920x1080,0.0,4253
מחשב נייד Asus X515EA-BQ950 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2153
מחשב נייד Dell Latitude 7430 L7430-8420 דל,Dell,NaN,1.22,Windows 10 PRO,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1080,0.0,5687
מחשב נייד Lenovo IdeaPad 5 Pro 16ACH6 82L5003EIV לנובו,Lenovo,NaN,1.9,Windows 10 PRO,16.0,AMD Ryzen 7,3200.0,1000.0,SSD,16.0,IPS,2560x1600,0.0,7290
מחשב נייד Lenovo Legion 5 15IAH7 82RC0050IV לנובו,Lenovo,NaN,2.35,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,1920x1080,0.0,5340
מחשב נייד HP 470 G8 3S8S3EA,HP,NaN,NaN,Windows 10 PRO,16.0,Intel Core i7,2800.0,NaN,NaN,17.3,IPS,1920x1080,0.0,4424
מחשב נייד Asus X545FA-BQ242 אסוס,Asus,NaN,2.0,ללא,8.0,Intel Core i3,2100.0,256.0,SSD,15.6,LED,1920x1080,0.0,1800
מחשב נייד Asus ExpertBook B1 B1500CEAE-BQ2384 אסוס,Asus,NaN,1.73,ללא,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3397
מחשב נייד Lenovo IdeaPad 3 17ITL6 82H9001EIV לנובו,Lenovo,NaN,2.1,ללא,8.0,Intel Core i5,2400.0,512.0,SSD,17.3,IPS,1920x1080,0.0,2860
מחשב נייד Lenovo Yoga 7 14IAL7 82QE008WIV לנובו,Lenovo,NaN,1.45,NaN,16.0,Intel Core i5,3300.0,512.0,SSD,14.0,IPS,NaN,1.0,4580
מחשב נייד Lenovo ThinkPad P15v Gen 3 21D8000HIV לנובו,Lenovo,NaN,2.2,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,15.6,IPS,3840x2160,0.0,9289
