name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Asus VivoBook 15 X1500EP-BQ588 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2449
מחשב נייד HP 14s-dq2011nj 308P4EA,HP,NaN,1.46,Windows  10,8.0,Intel Core i3,3000.0,NaN,NaN,14.0,IPS,1920x1080,0.0,1975
מחשב נייד Lenovo Legion 5 16ITH6 82JF002YIV לנובו,Lenovo,NaN,2.3,NaN,16.0,Intel Core i5,2700.0,NaN,NaN,16.0,IPS,2560x1600,0.0,5220
מחשב נייד Lenovo IdeaPad Duet 3 10IGL5 82AT00MYIV לנובו,Lenovo,NaN,NaN,NaN,8.0,Intel Pentium Silver,1100.0,128.0,eMMC,10.3,IPS,1920x1200,1.0,1948
מחשב נייד Dell Vostro 3520 V3520-7338 דל,Dell,NaN,1.66,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3955
מחשב נייד Asus VivoBook 14 X415JA-BV030 אסוס,Asus,NaN,1.4,ללא,8.0,Intel Core i3,1200.0,256.0,SSD,14.0,LCD,1366x768,0.0,1590
מחשב נייד Dell Latitude 7330 LT-RD33-13691 דל,Dell,NaN,0.96,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.3,LCD,1920x1080,0.0,5349
מחשב נייד Lenovo IdeaPad 5 15IIL05 81YK00TPIV לנובו,Lenovo,NaN,1.66,Windows  10,8.0,Intel Core i5,1000.0,256.0,SSD,15.6,IPS,1920x1080,0.0,3080
מחשב נייד Dell G15 5520 IN-RD33-14064 דל,Dell,NaN,2.51,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LED,1920x1080,0.0,5519
מחשב נייד Asus VivoBook Pro 14 OLED M3401QC-KM033W אסוס,Asus,NaN,1.45,NaN,16.0,AMD Ryzen 7,3200.0,NaN,NaN,14.0,OLED,2880X1800,0.0,4131
מחשב נייד Asus X515JA-BR107T אסוס,Asus,NaN,1.8,Windows  10,8.0,Intel Core i3,1200.0,256.0,SSD,15.6,LED,1366x768,0.0,2490
מחשב נייד HP Victus 16-e0001nj 4P4B6EA,HP,NaN,2.46,Windows  10,16.0,Intel Core i5,2700.0,1000.0,SSD,16.1,IPS,1920x1080,0.0,4490
מחשב נייד Asus ExpertBook B1 B1500CEAE-BQ2159 אסוס,Asus,NaN,1.73,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2440
