name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Dell Latitude 7410 LT-RD33-12003 דל,Dell,NaN,1.3,ללא,8.0,Intel Core i5,1600.0,256.0,SSD,14.0,LCD,1920x1080,0.0,4738
מחשב נייד Lenovo Legion 5 Pro 16IAH7H 82RF007PIV לנובו,Lenovo,NaN,2.49,NaN,16.0,Intel Core i7,3500.0,1000.0,SSD,16.0,IPS,2560x1600,0.0,9052
מחשב נייד Dell Vostro 3420 VM-RD33-13927 דל,Dell,NaN,1.49,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,14.0,LCD,1920x1080,0.0,2500
מחשב נייד Dell Latitude 5320 L5320-5241 דל,Dell,NaN,1.2,Windows 10 PRO,8.0,Intel Core i5,2400.0,256.0,SSD,13.3,LCD,1920x1080,0.0,4431
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00DFIV לנובו,Lenovo,NaN,NaN,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3272
מחשב נייד Lenovo ThinkPad T14 Gen 2 20W000VVIV לנובו,Lenovo,NaN,1.53,NaN,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,IPS,1920x1080,0.0,4840
מחשב נייד Asus P1512CEA-EJ0463 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1399
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00DMIV לנובו,Lenovo,NaN,NaN,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,15.6,LCD,1920x1080,0.0,3535
מחשב נייד Lenovo ThinkPad E14 20RA0015IV לנובו,Lenovo,NaN,1.69,Windows  10,8.0,Intel Core i5,1600.0,256.0,SSD,14.0,IPS,1920x1080,0.0,3199
מחשב נייד Lenovo ThinkPad X1 Nano Gen 2 21E8002AIV לנובו,Lenovo,NaN,NaN,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,13.0,IPS,2160x1350,0.0,7899
מחשב נייד HP 15-dw2034nj 1L6F2EA,HP,NaN,1.75,Windows  10,8.0,Intel Core i3,1200.0,256.0,SSD,15.6,IPS,1920x1080,0.0,2318
מחשב נייד Dell Vostro 7620 V7620-7523 דל,Dell,NaN,1.96,NaN,16.0,Intel Core i7,2700.0,NaN,NaN,16.0,LCD,3072x1920,0.0,5789
מחשב נייד HP 240 G8 43W72EA,HP,NaN,1.47,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,14.0,IPS,1920x1080,0.0,2389
מחשב נייד Lenovo IdeaPad 3 17ITL6 82H9001AIV לנובו,Lenovo,NaN,2.1,ללא,8.0,Intel Core i5,2400.0,512.0,SSD,17.3,IPS,1920x1080,0.0,2890
מחשב נייד Lenovo ThinkPad T14 Gen 1 20S00010IV לנובו,Lenovo,NaN,1.51,Windows 10 PRO,8.0,Intel Core i5,1600.0,256.0,NaN,14.0,IPS,1920x1080,0.0,6990
מחשב נייד Asus ExpertBook B9 B9400CBA-KC0209X אסוס,Asus,NaN,NaN,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LED,1920x1080,0.0,7074
מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0000VIV לנובו,Lenovo,NaN,1.55,Windows 10 PRO,16.0,AMD Ryzen 7 PRO,1900.0,NaN,NaN,14.0,IPS,1920x1080,0.0,4920
מחשב נייד Asus VivoBook 15 X1500EA-BQ2532 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1944
מחשב נייד Dell Vostro 5502 V5502-7340 דל,Dell,NaN,1.64,Windows  10,16.0,Intel Core i7,2800.0,512.0,SSD,15.6,LCD,1920x1080,0.0,5449
מחשב נייד Lenovo ThinkPad T14 Gen 2 20W000VQIV לנובו,Lenovo,NaN,1.53,NaN,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,IPS,1920x1080,0.0,5199
מחשב נייד Dell XPS 13 9305 XPS13-7741 דל,Dell,NaN,1.16,Windows 10 PRO,16.0,Intel Core i7,2800.0,512.0,SSD,13.3,LCD,1920x1080,0.0,8248
מחשב נייד Acer Aspire 7 NH.QE5EC.006 אייסר,Acer,NaN,2.15,ללא,16.0,AMD Ryzen 7,1800.0,NaN,NaN,15.6,LCD,1920x1080,0.0,4490
מחשב נייד HP 15-dw3209nj 4Z1Y7EA,HP,NaN,1.75,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,IPS,1920x1080,0.0,2500
מחשב נייד Acer Extensa 15 NX.EGJET.003 אייסר,Acer,NaN,NaN,ללא,8.0,Intel Core i3,2400.0,NaN,NaN,15.6,LCD,NaN,0.0,1438
מחשב נייד Asus X515MA-EJ450 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Celeron,1100.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1385
