name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo IdeaPad 3 15IML05 81WB00BFIV לנובו,Lenovo,NaN,1.7,Windows  10,4.0,Intel Pentium Gold,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1650
מחשב נייד Asus TUF Dash F15 FX516PE-HN023T אסוס,Asus,NaN,2.0,Windows  10,16.0,Intel Core i7,3300.0,1000.0,SSD,15.6,NaN,1920x1080,0.0,5048
מחשב נייד Apple MacBook Pro 14 M1 Pro Z15J000MH אפל,Apple,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8054
מחשב נייד Dell Vostro 5510 V5510-5739 דל,Dell,NaN,NaN,NaN,16.0,Intel Core i5,3200.0,512.0,SSD,15.6,LCD,1920x1080,0.0,4160
מחשב נייד Lenovo Legion 5 15IAH7 82RC005LIV לנובו,Lenovo,NaN,2.35,NaN,16.0,Intel Core i7,3500.0,512.0,SSD,15.6,IPS,2560x1440,0.0,6614
מחשב נייד HP Pavilion x360 Convertible 15-er0010nj 3Y360EA,HP,NaN,1.79,Windows  10,16.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,1.0,4889
מחשב נייד Lenovo ThinkPad P53s 20N6001DIV לנובו,Lenovo,NaN,1.75,Windows  10,40.0,Intel Core i7,1800.0,1000.0,SSD,15.6,IPS,1920x1080,0.0,7779
מחשב נייד Lenovo IdeaPad 5 Pro 14ITL6 82L30065IV לנובו,Lenovo,NaN,1.38,NaN,16.0,Intel Core i7,2800.0,1000.0,SSD,14.0,IPS,2880X1800,0.0,4510
מחשב נייד Dell Precision 7670 PM-RD33-13853 דל,Dell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11875
מחשב נייד Dell Latitude 5510 LT-RD33-12136 דל,Dell,NaN,1.82,ללא,16.0,Intel Core i7,1800.0,512.0,SSD,15.6,LCD,1920x1080,0.0,6990
מחשב נייד Asus ExpertBook B9450FA-BM0870R אסוס,Asus,NaN,0.88,Windows 10 PRO,16.0,Intel Core i7,1800.0,512.0,SSD,14.0,LCD,1920x1080,0.0,6168
מחשב נייד Dell G15 5520 IN-RD33-13562 דל,Dell,NaN,2.51,NaN,32.0,Intel Core i7,NaN,NaN,NaN,15.6,LED,1920x1080,0.0,7301
מחשב נייד Asus ROG Strix SCAR 15 G533QR-HF074R אסוס,Asus,NaN,2.3,Windows 10 PRO,32.0,AMD Ryzen 9,3300.0,1000.0,SSD,15.6,NaN,1920x1080,0.0,10773
