name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד HP 340S G7 2D194EA,HP,NaN,1.47,ללא,8.0,Intel Core i7,1300.0,512.0,SSD,14.0,NaN,1920x1080,0.0,3789
מחשב נייד Lenovo Legion 5 16ITH6 82RF0084IV לנובו,Lenovo,NaN,2.49,NaN,16.0,Intel Core i7,NaN,1000.0,SSD,16.0,IPS,2560x1600,0.0,7740
מחשב נייד Asus TUF Gaming F15 FX506HC-HN007 אסוס,Asus,NaN,2.3,ללא,16.0,Intel Core i7,NaN,512.0,SSD,15.6,LCD,1920x1080,0.0,5449
מחשב נייד Lenovo IdeaPad 3 17IAU7 82RL004QIV לנובו,Lenovo,NaN,NaN,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,17.3,IPS,1920x1080,0.0,2841
מחשב נייד Apple MacBook Pro MYDC2HB/A אפל,Apple,NaN,1.4,MacOS,8.0,NaN,NaN,512.0,SSD,13.3,LCD,2560x1600,0.0,6189
מחשב נייד Asus VivoBook 15 X1500EA-EJ2287 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LCD,1920x1080,0.0,1986
מחשב נייד Lenovo ThinkPad E15 Gen 4 21E60092IV לנובו,Lenovo,NaN,1.7,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,1920x1080,0.0,3287
מחשב נייד Lenovo ThinkPad T14 Gen 3 21AH00DTIV לנובו,Lenovo,NaN,1.32,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,14.0,IPS,1920x1200,0.0,5838
מחשב נייד HP ProBook 440 G8 59S00EA,HP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3874
מחשב נייד Lenovo ThinkPad L13 Gen 3 21B3000UIV לנובו,Lenovo,NaN,1.26,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,13.3,IPS,1920x1200,0.0,4990
מחשב נייד Asus ZenBook 14 UX425EA-BM295 אסוס,Asus,NaN,0.93,ללא,8.0,Intel Core i3,3000.0,256.0,SSD,14.0,LCD,1920x1080,0.0,2790
מחשב נייד Lenovo ThinkPad L13 Gen 3 21B30018IV לנובו,Lenovo,NaN,1.26,NaN,8.0,Intel Core i5,3300.0,NaN,NaN,13.3,IPS,1920x1200,0.0,4100
מחשב נייד Lenovo Yoga 7 16IAP7 82QG003PIV לנובו,Lenovo,NaN,1.98,NaN,16.0,Intel Core i5,3300.0,512.0,SSD,16.0,IPS,2560x1600,1.0,4818
מחשב נייד HP 240 G7 1F3S2EA,HP,NaN,1.52,Windows 10 PRO,8.0,Intel Core i7,1300.0,256.0,SSD,14.0,LCD,1920x1080,0.0,3279
מחשב נייד HP Probook 450 G8 2R9D4EA,HP,NaN,1.74,Windows 10 PRO,8.0,Intel Core i5,2400.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3100
מחשב נייד HP ZBOOK Firefly 14 G8 2C9Q9EA,HP,NaN,1.41,Windows 10 PRO,16.0,Intel Core i5,NaN,NaN,NaN,14.0,IPS,1920x1080,0.0,5662
מחשב נייד Acer Aspire 5 14 A514-54-57Y3 NX.A28EC.001 אייסר,Acer,NaN,1.7,Windows  10,8.0,Intel Core i5,2400.0,512.0,SSD,14.0,LCD,1920x1080,0.0,3450
מחשב נייד Asus VivoBook S14 K3402ZA-KM335W אסוס,Asus,NaN,1.5,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,OLED,2880X1800,0.0,4602
מחשב נייד Asus VIvoBook Pro 15 K6500ZH-HN040W אסוס,Asus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5060
מחשב נייד Lenovo Legion 5 15IAH7 82RC0058IV לנובו,Lenovo,NaN,2.35,NaN,16.0,Intel Core i5,3300.0,NaN,NaN,15.6,IPS,2560x1440,0.0,5525
מחשב נייד Acer TravelMate P2 NX.VLNEC.00K אייסר,Acer,NaN,1.8,Windows  10,8.0,Intel Core i5,1600.0,512.0,SSD,15.6,LCD,1920x1080,0.0,2499
